"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1051",0,1.81101492944041,0.923,0.152,0
"1131",0,-1.59723749071023,0.906,0.968,0
"1175",0,-1.5959729444837,1,0.997,0
"1223",0,1.4189501538637,1,0.949,0
"1458",0,-3.29216029833814,0.034,0.787,0
"1492",0,-2.53611655572675,0.21,0.928,0
"1613",0,0.999602764367333,1,0.985,0
"1651",0,-1.44487658143039,0.73,0.951,0
"1768",0,-1.7927987525319,0.803,0.989,0
"1860",0,-1.43872469721973,0.008,0.806,0
"1866",0,-1.98884554643707,0.679,0.968,0
"1904",0,-1.45752304368184,0.815,0.966,0
"2005",0,-2.0860971555318,0.796,0.958,0
"2079",0,1.76749568277339,1,0.965,0
"2158",0,2.37111807457237,1,0.959,0
"2223",0,2.12777744784755,0.999,0.656,0
"2251",0,-2.56189868972257,0.002,0.862,0
"232",0,1.61760415563317,1,0.822,0
"2410",0,-2.51113267595996,0.262,0.954,0
"2479",0,-1.63238606183058,0.004,0.82,0
"2572",0,1.55621000205555,1,0.975,0
"2614",0,-1.69426800775479,0.924,0.972,0
"2691",0,-3.70423421688062,0.174,0.897,0
"2696",0,-2.03123020783306,0.001,0.912,0
"2756",0,1.64763625341602,1,0.982,0
"2764",0,-1.96028805385573,0.96,0.993,0
"283",0,-1.32643261163329,0.833,0.947,0
"2852",0,1.55207690805051,1,0.979,0
"2864",0,1.97666746937822,0.994,0.527,0
"2922",0,2.07526040087531,0.969,0.097,0
"3017",0,2.11378989213517,1,0.976,0
"3028",0,1.72328742835028,0.986,0.576,0
"3030",0,-1.37120637809106,1,0.994,0
"3067",0,1.73386226591238,0.963,0.216,0
"3070",0,-2.04631234311309,0.065,0.916,0
"3141",0,1.66649562903448,0.991,0.496,0
"3256",0,1.57363975627302,1,0.965,0
"3266",0,1.48603922754782,0.933,0.135,0
"3361",0,-1.73590368316137,0.999,0.994,0
"338",0,-3.97981826555227,0.519,0.965,0
"3462",0,-1.54388995687319,1,0.996,0
"3473",0,-3.04705426700403,0.11,0.982,0
"3591",0,-1.44253775809772,0.843,0.958,0
"3658",0,-1.9670948916844,0.634,0.962,0
"3678",0,-2.72547769404542,0.745,0.979,0
"3693",0,-3.43495496874106,0.792,0.881,0
"3727",0,-2.59358146319038,0.01,0.933,0
"3909",0,2.05826089771678,0.993,0.396,0
"392",0,-1.64621032879594,0.598,0.954,0
"407",0,2.23549080857062,1,0.971,0
"4102",0,-2.28129443427502,0.391,0.968,0
"4115",0,2.00390029290943,1,0.973,0
"4327",0,2.16722577216914,1,0.948,0
"4344",0,-1.69293922633609,0.701,0.928,0
"4397",0,1.5780929494363,1,0.983,0
"4489",0,1.77965965337122,1,0.979,0
"456",0,-1.55974648056246,0.001,0.801,0
"4720",0,-2.4705186830985,0.132,0.951,0
"4803",0,-1.95123729741338,0.829,0.971,0
"4805",0,2.35774823735459,0.993,0.49,0
"4831",0,-3.34891478845491,0.006,0.951,0
"4833",0,-1.44371357256581,0.967,0.993,0
"4836",0,-2.32947121422559,0.933,0.982,0
"5008",0,1.65702615590991,1,0.928,0
"5012",0,1.575315293883,1,0.972,0
"5027",0,-1.80355363599793,0.156,0.882,0
"5043",0,1.72432658651036,0.983,0.414,0
"5074",0,2.31084733044975,0.944,0.073,0
"5124",0,1.59783727047395,1,0.933,0
"5171",0,1.20613941701375,1,0.985,0
"5173",0,-3.04997994740506,0.882,0.997,0
"5207",0,1.96969327094356,0.858,0.018,0
"5288",0,1.76524195930739,1,0.955,0
"5305",0,-2.4398210431791,0.917,0.999,0
"5366",0,1.32740280766475,0.986,0.639,0
"5425",0,1.8407530091739,1,0.774,0
"5490",0,2.9383989947601,0.997,0.461,0
"5521",0,2.9177676242909,0.981,0.06,0
"5522",0,2.60604883662944,0.945,0.098,0
"5558",0,-1.43868377980833,1,0.99,0
"556",0,1.55490875199209,0.947,0.257,0
