pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458"	0.139880952380952	0.246944976821138	0.206587922696891	-0.465555858531952	-1.2830520248719	28	HSPE1 MKKS CCT3 CHCHD4 HSPD1 HSPA14 CCT6A CCT5 TCP1 CCT8 CCT7 DNAJC2 CCT2 ERO1L FKBP1A
"1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%HUMANCYC%PWY-6362"	0.728813559322034	0.828593528232317	0.0525898950623616	0.384598992428705	0.806975264972721	15	INPP5A SYNJ2 SYNJ1 ITPKB IPPK OCRL IPMK ITPK1
"2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394"	0.00825853751777945	0.0264561888522123	0.380730400722792	-0.628300505522828	-1.61476981363862	22	SMUG1 CMPK2 DCTPP1 TYMS DUT NTHL1 SAMHD1 UNG OGG1 NT5M MBD4
"3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GOBP%GO:0050427"	0.4016	0.540805877722383	0.0789209638180035	0.483595559279552	1.0714422207335	20	ENPP1 PAPSS2 TPST1 IMPAD1 SLC26A2 SULT4A1 SULT1C4 SULT2B1
"3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352"	0.972434915773354	0.98892696114432	0.0346410167413251	0.235691909385315	0.550758385043179	25	PIP5K1C PIK3R1 PIKFYVE PIP4K2B PIK3C2A PIP5K1B PI4K2A PIK3C2B
"3-PHOSPHOINOSITIDE DEGRADATION%HUMANCYC%PWY-6368"	0.862068965517241	0.924005415838447	0.0658311958368866	-0.290909442233515	-0.731586762782563	20	MTMR14 INPP5J PTPMT1
"5-HYDROXYTRYPTAMINE DEGREDATION%PANTHER PATHWAY%P04372"	0.428813559322034	0.566161869421322	0.0785029047348687	0.493405165323996	1.05590465799132	17	ALDH1A3 ALDH1A2 ALDH1B1 ALDH1A1 ALDH1L2
"5HT1 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04373"	0.298701298701299	0.435923984671041	0.0894366833718621	0.459005223694539	1.13698336839189	33	ADCY2 GNG11 GNG2 GNB3 GNG4 KCNK3 GNAO1 GNAI1 PRKAR2B GNG7 PRKACB GNG12
"5HT2 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04374"	0.168115942028986	0.282968519020254	0.126253987849115	0.498243535596412	1.25562666366913	39	GNA14 PLCG1 GNG11 GNG2 GNB3 GNG4 PRKCG KCNK3 GNA11 HTR2B PLCD4 GNAQ PRKCA PLCB4
"5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376"	0.675344563552833	0.787339459371454	0.0514264916187015	0.365608203666337	0.854343215831894	25	ADCY2 GNG2 GNB3 GNG4 KCNK3
"7-METHYLGUANOSINE MRNA CAPPING%GOBP%GO:0006370"	0.098159509202454	0.18657577823222	0.252961123069611	-0.490557995174605	-1.37556315512409	30	POLR2D POLR2G POLR2H GTF2H4 POLR2J POLR2I POLR2F POLR2L GTF2H5
"7-METHYLGUANOSINE RNA CAPPING%GOBP%GO:0009452"	0.098159509202454	0.18657577823222	0.252961123069611	-0.490557995174605	-1.37556315512409	30	POLR2D POLR2G POLR2H GTF2H4 POLR2J POLR2I POLR2F POLR2L GTF2H5
"A TETRASACCHARIDE LINKER SEQUENCE IS REQUIRED FOR GAG SYNTHESIS%REACTOME DATABASE ID RELEASE 61%1971475"	3.63479272970719e-08	4.75861129817788e-07	0.719512826338911	0.895201059091241	2.06800338294032	24	BGN VCAN GPC6 DCN SDC2 XYLT1 HSPG2 GPC1 CSPG4 SDC1 B3GAT1
"A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING"	0.0152198316695288	0.0436846622639942	0.380730400722792	0.61750932280456	1.56419715604813	41	LAMB1 PMP22 LAMA4 LAMA1 ITGB1 LAMA2 LAMC1 SHC1 LAMA5 LAMB2 RXRA ITGB4 LAMC2 PIK3R1 PRKCA
"ABC TRANSPORTER DISORDERS%REACTOME%R-HSA-5619084.4"	2.54012932722709e-10	5.23531875796362e-09	0.814035837847908	-0.721178541407316	-2.38070245007648	62	PSMB9 PSME2 PSME1 PSMB8 PSMB10 PSMA6 PSMA5 PSMB4 PSMD4 PSMC2 PSMA3 PSMB1 PSMB3 PSMA2 SFTPB PSMA4 PSMB6 PSMC6 PSMD7 PSMD14 PSMD9 PSMD11 SHFM1 PSMC3 PSMB2 PSMA7 UBA52 PSMD13 RNF5 PSMD6 VCP PSMA1 PSMB5 PSMD10
"ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 61%382556"	7.60860661436541e-06	6.51875945658152e-05	0.610526878385931	-0.541700833641765	-1.91961917168226	93	PSMB9 PSME2 PSME1 PSMB8 PSMB10 PSMA6 PSMA5 PSMB4 PSMD4 PSMC2 PSMA3 PSMB1 PSMB3 PSMA2 PSMA4 PSMB6 PSMC6 ABCG8 PSMD7 PSMD14 PSMD9 PSMD11 SHFM1 PSMC3 PSMB2 PSMA7 UBA52 PSMD13 RNF5 PEX3 EIF2S1 PSMD6 VCP PSMA1 PSMB5 PSMD10 ABCB10 PSMC1 PSMB7 ABCC4 ABCA4 ABCB9 PSMF1 DERL2
"ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME DATABASE ID RELEASE 61%167242"	0.018896761016854	0.0517216946871971	0.352487857583619	-0.61844717653924	-1.53521634805413	19	POLR2D POLR2G POLR2H SUPT4H1 POLR2J POLR2I POLR2F POLR2L POLR2K
"ACETYL-COA METABOLIC PROCESS%GOBP%GO:0006084"	0.444174757281553	0.581061650361696	0.0965629554309422	-0.420940437049572	-1.01246933056221	16	ACAT1 PDHA1 NUDT7 PIPOX MLYCD PDHX PMVK PDHB ACSS1 MVK DLD
"ACID SECRETION%GOBP%GO:0046717"	0.96996996996997	0.988264023403988	0.0338245444462164	0.249655148592064	0.595850742457593	28	HRH2 SYT1 BDKRB2 PPFIA1 PPFIA4 DRD4 STXBP1 RAB3A GLS
"ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036"	3.93171150541283e-06	3.53372039330624e-05	0.610526878385931	0.53293545905123	1.661209002302	271	ANTXR1 PDGFRB LMOD1 DLC1 PRKG1 FRMD6 MYH10 PDGFRA FGF7 FSCN1 ANKRD1 SHROOM4 AQP1 MYH11 ADRA2A ABL1 IQSEC1 DPYSL3 LIMA1 FGD6 SORBS1 TPM1 S1PR1 ACTN1 NEDD9 BCAR1 PTK7 FSCN2 PLS3 FAT1 KIT MICAL2 CORO6 MYO1B AMOT ITGB1 RND3 SRC PIP5K1C MYOM3 ARHGEF17 BRSK2 ITGB5 MYH9 CORO2B ROCK2 ARHGAP6 TNXB MTSS1 SSH1 SBK2 FLNA CDC42EP2 FRMD5 IQGAP2 DBN1 MYOZ3 RAP2A WASF3 CYTH2 PDGFA ACTB FRY CDC42BPB ADD2
