"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933",1e-10,7.505e-08,NA,0.635306330591257,3.90150110190049,54,"FCGR2B;TYROBP;CD300LG;CD3G;IGKC;CD3D;IGLC2;TRBC1;KLRD1;TRAC;KLRK1;CD226;CD3E;NCR1;CD160;ITGB2;HCST;VCAM1;IGLC3;C3;SELL;CD34;CD22;ICAM1;SLAMF6;CD300A;IGLC1;ITGB7;ITGAL;CD200R1;SH2D1A;ITGA4;CDH1;ITGB1;CD40LG;CD247;CD19;B2M"
"2","Integrin cell surface interactions Homo sapiens R-HSA-216083",1e-10,7.505e-08,NA,0.579145405629768,3.38636482177869,44,"KDR;FGA;FN1;ITGB2;VTN;ITGA1;VCAM1;CD44;COL4A4;COL18A1;ITGAX;ICAM1;COL4A2;SPP1;CD47;ITGB7;FGG;ITGAL;FGB;COL13A1;ITGA4;CDH1;ITGB1;ITGA9;DAG1;PECAM1;F11R;ITGA2B;COL4A1"
"3","Immunoregulatory interactions between a lymphoid and a non-lymphoid cell",1e-10,1.06043742985479e-07,NA,0.694580128798271,4.14373714816724,42,"FCGR2B;TYROBP;CD3G;IGKC;CD3D;IGLC2;TRBC1;KLRD1;TRAC;KLRK1;CD226;CD3E;CD160;ITGB2;HCST;VCAM1;IGLC3;C3;SELL;CD34;ICAM1;IGLC1;ITGB7;ITGAL;CD200R1;ITGA4;CDH1;ITGB1;CD40LG;CD247;CD19;B2M"
"4","Interleukin-2 signaling pathway",1.42054578681151e-10,1.06043742985479e-07,0.826657301178302,0.209214347945399,1.87664217065094,655,"CCL5;NKG7;KDR;GZMA;CD52;CRIP1;S100A4;AHNAK;S100A11;GPR182;FOS;KLRD1;FGR;PTPRC;FYB;IL6ST;VIM;CCR7;KLRK1;TAGLN2;SRGN;SLC39A8;LTB;ETS1;UCP2;BCL2;TXK;LCK;ITGB2;CD69;DPP4;IL18R1;RGS1;CTSW;CD2;TCF7;IFI44;CD55;FYN;IL2RB;SELL;CTSS;LY6E;BTG1;CCND2;LCP2;GPR183;CSF1;DOK2;CXCR3;PLAC8;CTSD;GALNT10;ITGAX;CXCR4;ADD3;LAPTM5;LDLR;ICAM1;CD53;CTSB;FCER1G;LSP1;GZMB;STAT4;GADD45G;SMC4;CD300A;CCR6;ITGB7;CCR2;XCL1;IL7R;GATA3;VEGFA;RRBP1;KCNN4;ZFP36L2;JAK1;LYST;CHSY1;LAT;IL2;RAB27B;EVL;SH2D2A;SP100;CCND1;CCR5;PDIA3;MAN2A1;BTG3;GLS;SLC2A3;SPN;IL2RG;FKTN;ZEB2;CSF2RB;SACS;KMT2C;CYTH4;TIMP2;PIM1;PIK3CD;SH2D1A;SIT1;CD6;GPLD1;PTPN22;KLF6;MYO1F;PREX1;GALNT7;CISH;MOB3A;ATP6AP2;IKZF3;EMP3;STK17B;TGFBR2;PMAIP1;DOCK8;TAF1;ESYT1;JUN;APP;ADA;SOCS1;DNAJC3;CDK20;CD40LG;TES;LYN;GPR18;GUCA1A;LEPROTL1;STAT1;SOCS2;ITK;IFNG;TIA1;CASP1;CD247;ABLIM1;LARP4;TRIM39;ITPKB;DENND2D;ITGA2B;CR2;ID2;PDE7A;MNT;IFIT1;B4GALT5;ATRX;IL18RAP;PIM2;ZSWIM6;PDE4B;CD27;PRMT5;ACP5;PRKCB;EOMES;LCORL;RASA1;ID3;IQGAP2;BRWD1;PRKCE;SLCO2B1;PTPN7;YTHDC2;IL1RAP;ARHGEF18;RBM38;PIK3C2B;RGS19;JAK3;ARRB2;KBTBD2;NFKB1;CTSZ;IRS2;CTSC;MACF1;RGS3;SAMHD1;AGO2;SLC1A5;TBC1D8;NFATC3;HLTF;STK38;FUBP1;SMC5;IL1R1;CEACAM1;LRMP;SOCS4;CDC25B;WDFY1;ELF1;DUSP3;RASGRP1;DOCK5;MYC;LY9;ZBTB16;PTCH1;SLC35E2;PFKFB3;CASK;DHRS7;PTPN9;RNF103;APBB2;CRKL;IL1B;ITPR2;GALNT11;LDHB;FAM53B;S1PR1;MLLT10;ZBTB7A;SFPQ;LMTK2;ARL6IP1;CYP7B1;PIK3CA;STAT5A;FLNB;HIST1H2BJ;DDX21;MLLT3;SYK;ADAM19;ENPEP;FAM214B;CLSPN;ATP1B1;PEMT;UCK2;NFAT5;PPARD;DKC1;REL;RUFY1;MAST3;CUL4B;CYTIP;KCNAB1;PLAUR;GPR137B;IL16;GZMK;IRF9;FAS;CDKN1B;HDAC4;VPS13A;MASP2;SSBP2;RBM3;PTPN6;MYB;ETS2;RGS18;TCOF1;MAPRE2;STAM;TPST1;SLC38A1;CD68;PLXNB2;CDIPT;NVL;ASNS;ACSL1;RNF139;RIN3;CXCR5;RRAS2;ERF;SOCS3;HCFC2;E2F2;TAB2;HIST1H2AC;PDE4DIP;JAK2;BIRC3;CDK17;BRD8;SORBS3;TNF;CTDSP2;PARP8;RDH11;IL12RB2;CDK1;TCEAL1;DNAJC13;DUSP11;TPST2;BMF;HIST1H2BE;MDFIC;IL3RA;NOP56;GAB2;RPS6KA3;PDK4;BHLHE40;ARHGEF7;KIF22;PPP2R5D;SLA2;FOXO1;SOS1;URB2;YPEL1;NOLC1;PTPN11;KRAS;PSAT1;CCL4;NMI;PIK3CB;JUND;CHST12;PTGER2;ACTN1;PRF1;TSPYL1;TAX1BP3;SLC7A5;LIMK2;DENND3;CCNG2;YES1;CTSH;EZH2;ATIC;KLHL21;PKIG;SQLE;ACTB;PTK2B;TRIM37;GTF2I;RGS16;PIK3R1;NMT2;DUSP7;GSTA2;PPRC1;ESYT2;PDE3B;MFHAS1;SLC7A1;DAXX;VAMP5;FOSL2;CSRP3;TRAFD1;VAMP4;STAM2;TBCD;PCSK6;FRMD4B;TAP1;IER3;ADTRP;CBL;IRF5;CASP9;PRRC2B;SRP19;PBXIP1;RPS6KB2;JOSD1;WARS;AKT1;PPP1R16B;FMNL1;ELK1;MAPK14;ZBTB11;ARAP2;TRAT1;TRIM21;GNPTAB;AHR;RALB;SLC7A7;MAPK8"
"5","immunoglobulin receptor binding (GO:0034987)",1e-10,1.123e-07,NA,0.863227236759105,3.60488494596342,13,"TRBC2;IGKC;IGLC2;IGHM;TRBC1;FGR;IGHD;IGLC3;IGLC1;FLNA;JCHAIN;TRDC"
"6","Scavenging of heme from plasma Homo sapiens R-HSA-2168880",5.58014129392045e-10,2.7919306940582e-07,0.801215574617779,0.894942417137817,3.47572114982115,10,"IGKC;IGLC2;IGLC3;ALB;AMBP;IGLC1;HPX;LRP1;APOA1"
"7","positive regulation of lymphocyte activation (GO:0051251)",1e-10,5.07e-07,NA,0.724740782995082,3.68390330303588,24,"TRBC2;IGKC;IGLC2;IGHM;TRBC1;IGHD;CCR7;SIRPA;LCK;IGLC3;CD47;THY1;IGLC1;CCR2;TNFSF11;PYCARD;TRDC;FAM49B"
"8","Complement and coagulation cascades",2.57388869111944e-09,7.92757716864787e-07,0.774939030136436,0.488728294028962,2.9921972294954,51,"FGA;PLG;F8;KNG1;CLU;ITGB2;VTN;CFH;C4B;CD55;C3;C6;SERPINF2;ITGAX;CFI;TFPI;FGG;SERPIND1;FGB;KLKB1;CFB;F12;C8A;SERPING1;F2;SERPINC1;MASP1;CR2;F7;F5;F2R"
"9","B cell receptor signaling pathway (GO:0050853)",5.18439348035663e-10,9.38024295094042e-07,0.801215574617779,0.598038770539395,3.3228975854168,34,"TRBC2;IGKC;IGLC2;IGHM;CD79A;CD79B;TRBC1;PTPRC;IGHD;MEF2C;BCL2;TXK;LCK;IGLC3;IGLC1;PIK3CD;TRDC;BLK;ITK;CD38;CD19;NFATC2;PRKCB;NCKAP1L;PLEKHA1"
"10","defense response to bacterium (GO:0042742)",5.73844055723107e-10,9.38024295094042e-07,0.801215574617779,0.488804469774983,3.11155133062142,57,"S100A9;S100A8;TRBC2;IGKC;IGLC2;IGHM;TRBC1;FGR;IGHD;ISG15;HMGB2;IGLC3;SLPI;HAMP;FCER1G;STAB1;TLR3;IGLC1;STAB2;LYST;PYCARD;SPN;PGLYRP1;JCHAIN;CRP;TRDC;ANXA3;PGLYRP2"
