ScoreType	PositiveMarkers	NegativeMarkers	Reference	SignatureTag
Core NMD factors/components	UPF1,SMG6,SMG7		10.1038/s41588-024-01872-x	
Tan et al (2022) Stromal cell	PDGFRA,PDGFRB,ISLR,MXRA8,EMILIN1,FXYD1,SYNPO2,PRRX1,OSR2,CARMN,TBX3,CTSK,COL14A1,COL5A2,MFAP4,CPXM1,COL5A1,DDR2,HAND2,HAND2-AS1,PEG3,CD248,NR2F2-AS1,EDNRA,LMOD1,RORB,CLMP,DNM3OS,OGN,ADRA2C,PCDH18,F10,TWIST1,TWIST2,MUM1L1,FOXL2,HSPB6,APOD,LAMA2,CXCL12,ECM2,ALDH1A2,TMEM45A		PMID:35864314 	
He et al (2022) Circadian-related genes	ADA,C1QTNF7,CACNA2D2,CELF2,CLOCK,DIXDC1,EPHX1,FAT1,GIMAP5,HERPUD1,ICOS,KCNMA1,MICU3,NAALAD2,NAP1L5,NRXN1,OPHN1,PBXIP1,RBM38,RPS6KA5,SEC61G,SFTPC,SLC25A42		PMID:35436363	
Chae et al (2018) EMT-gene signature	CDH1,CDH2,DSP,FN1,FOXC2,GSC,ITGB6,MMP2,MMP3,MMP9,SNAI1,SNAI2,SOX10,TJP1,TWIST1,VIM		PMID:29440769	
Dohmen et al (2022) Tumor cell	RP11-277P12.10,RP13-895J2.6,BNC1,MAGEA6,ISX,MAGEA3,RP13-614K11.2,CDH7,CALML3,A1CF,CLEC2L,ZNF280A,ANXA13,SOX14,GAL,RP11-626H12.2,FGB,HOXD11,CDX2,LINC00973,CTC-529P8.1,LINC01234,RP11-416I2.1,LCN15,ONECUT2,KCNF1,CPN1,CDK5R2,GLYATL1,RP1-140K8.5,RP11-221N13.3,PPP1R14D,RP11-244M2.1,CEL,RETNLB,PBK,LRRIQ4,ANLN,DEPDC1,RNF186,LINC01510,HMGA2,ITPKA,ACMSD,SYNGR4,RP11-734K21.5,UGT2B15,LINC00460,MYO3A,PITX1,PCSK1,CTD-2034I21.2,SPC25,RP11-54H7.4,PLK1,INSM1,UGT2B7,DLGAP5,TBX10,KRTAP4-1,PKMYT1,STRA6,MND1,AZGP1,CNTD2,AC005355.2,CDCA3,MET,SLC13A2,SLC38A3,GJB5,RRM2,CDC45,ADGRF4,PHGR1,KIF4A,NPTX2,FGL1,UBE2C,CALCA,GJB4,PCDHGA1,VIL1,CCNB2,FGFBP1,RP11-595B24.2,RAD54L,EPHA8,FAM25A,CRYBA2,CPLX2,AC011298.2,DIAPH3,AURKB,RP11-211G23.2,ENTPD2,BIRC5,HJURP,HMMR,DHRS2,GTSE1,SERPINB5,DBNDD1,PADI1,FAM83A,KRT6A,COL17A1,SPDEF,CTC-573N18.1,S100A2,IL37,DPP10,STC2,RP11-546K22.1,CDC25C,CTD-3010D24.3,SAA1,TK1,LY6D,XG,RP5-875H18.9,E2F8,HEPACAM2,DLL3,MKI67,SLC25A48,RNF183,KIF14,CDCA5,KLK5,CMBL,PHYHIPL,INHA,CENPA,MELK,BCO1,FABP1,PLOD2,LINC01511,GJC3,TMED6,AC007879.7,KIF12,SAA2,CHST1,GALNT14,MYBL2,SLC7A9,VSTM2L,GAS2,RP13-463N16.6,TYMS,KRT24,SAA4,KIAA0101,BEAN1,GRB14,ZFHX4,AGT,RP11-368L12.1,APCDD1L,S100A3	RGS1,TSPAN8,CD8B,CLDN8,PIFO,C1ORF189,BCHE,ELFN1,GJA1,RP11-329N22.1,FOXC2,CD200R1,CORIN,LIPH,ANKRD45,PID1,RP11-128M1.1,KIR3DL2,CD27,BMP3,MYL6B,FAM26E,DPT,TRBV28,STAB2,RPS6KA2,SYTL5,TMC4,CXCL17,EPHA10,COL1A1,SFTPA2,SOX2,LCK,RP1-60O19.1,KIAA1755,CLIP3,RP11-89K21.1,NOTCH3,RP3-446N13.5,RAB31,TMEM190,GZMA,PLCXD3,RP11-74E22.6,GSTA1,CHST9,GALNT16,GPRC5B,MASP1,BLK,TRGV8,ATP6V1C2,RASGRP1,STAP1,LRCOL1,NOX4,C5ORF49,TUBA4B,TOX3,KIR3DL1,EFNA1,C1ORF194,CHRNA6,NREP,TMEM54,EFEMP2,FLNC,CNTFR,SGCD,CTHRC1,GIP,KLK10,CFAP100,TM4SF4,CYP2C18,FILIP1,IGHD,EGFL6,CNTN4,CNIH2,WFDC10B,IGLV4-60,CATSPERD,ABCC8,RP11-290F5.1,B4GALNT2,LGI4,CTSE,RP11-106M7.1,LTB,TTC25,MUC13,PCDH18,HNF1B,GRHL2,HSPB2,C9ORF116,CYP4F22,LINC01436,NCR1,IFNG,TEKT1,PFN2,LINC01207,SEMA3B,CPXM2,DOK2,PSMA8,MAL2,EVI2B,CD19,SLC6A14,SDCBP2,GRM8,LRRC34,IGFL3,LINC01266,PI15,GIPC3,HSF5,SOWAHA,MIR4458HG,ADGRL4,NLRC3,C1ORF141,IGLV9-49,KCNJ8,SYDE1,SMIM6,LINC00544,CCDC74A,APCDD1,FOXQ1,CREM,RP11-18H21.1,CDHR2,CROCC2,MOXD1,LRFN5,RSPH14,FRZB,C17ORF82,FSTL4,HCST,ADGB,C22ORF15,LINC01612,FOXJ1,CCDC129,SAXO2,C4BPB,COX7A1,FOXS1,PYHIN1,COL1A2,CFAP58,LINC01133,OLFML1,CRISP2,DCDC2B,ITK,CILP,PLA2G2A,OR51E1,NCR3,LINC00844,MEOX2,PDIA2,RTP5,PLA2G5,TM4SF5,MS4A2,EGFLAM,FAM92B,IL2RB,ABLIM3,CCL2,PRRG3,KLRC1,REM1,DCN,EVA1A,TRGV3,BPIFA2,TRGV9,IL9R,TM4SF20,RHOBTB2,SCARA5,PLS1,HS3ST3A1,APELA,UNC5C,ZNF20,TRAV8-2,RSPH9,HAS2,GRAP2,OGN,CRTAM,C2ORF70,B3GNT6,PLN,ZNF683,CTD-2005H7.1,HSD17B6,C1QTNF2,CCL5,C1S,APOBEC4,TRAV26-1,TRAT1,SULT1A2,FNDC1,KIR2DL1,CD5,FCRL1,CFAP157,CTSW,CD7,LGALS4,LMO3,TMC5,SLA2,XCL2,COL12A1,CD24,EFCC1,TMEM47,KANK4,RP11-146I2.1,ELF3,CCDC114,CD37,AC092580.4,TRGV2,PCK1,SLC2A4,TBC1D10C,MSRB3,HSPB3,PRG4,NR0B2,AF127936.3,ARHGEF16,COL6A1,DLX5,FBN1,DIO3OS,RP11-291B21.2,RP11-240M16.1,WFDC2,STK32A,CD226,TNFRSF17,CALD1,TRAPPC3L,PIEZO2,C6,CCR7,CYTIP,WFDC6,GFRA3,SLPI,TMEM158,IKZF3,SLAMF6,S100A14,SOX18,UCN3,SRD5A2,TRAV16,DYDC1,GUCY1A2,TBX21,TRAV4,GJA4,LAX1,MISP,APOBEC1,PODN,ASS1,RP11-108M9.4,MYH14,PRELP,CFAP45,C3ORF70,RIMBP2,AL928768.3,KCNT2,IL4,MFAP2,PCOLCE,TM6SF2,ATP1A2,CDK2AP1,PIH1D3,STRN3,RP11-109E24.1,NOTUM,SULF1,CST4,FCMR,BEST4,NDRG2,LINC01571,HRCT1,PLA2G10,LRRC43,EFCAB10,IKZF1,DNAI1,DEUP1,TRAV2,VWA5B2,PLPPR4,PCDHB10,CFAP74,SIRPG,ANKRD66,MDH1B,C1R,LHFP,PCSK1N,ARNT2,RARRES2,PRF1,NKD2,GPRIN2,SLA,RAB25,WDR93,CTD-2171N6.1,FUT2,LRRC71,TCN1,FAM180A,COMP,MAP3K19,COL3A1,GUCA2A,CD8A,GPX8,TMIGD2,KIF6,CD53,APOH,CTC-436P18.3,KCNMB1,SLC16A2,GPT,ADGRA2,RAMP2,ABCA8,MXRA8,RP11-367G6.3,CDH11,TESPA1,CCDC175,KLRD1,SMIM22,PALM2,ZIC1,WDR38,CAPN8,CKMT1A,CD69,CFAP65,PRR15L,ARMC4,NRGN,ZNF80,KCNA3,PRDM6,ADAMTS5,KLRC4,C1ORF158,MRVI1,PPP1R14A,RP11-176H8.1,NPC2,GJA5,ITGA11,CTD-2147F2.1,RP11-462G2.1,RIBC2,RGS22,RP11-109M17.2,MEF2C,PROX2,XDH,CD40LG,LRRIQ1,RSPH4A,TRAV20,TMEM125,RP11-95H3.1,C9ORF47,DRD5,TRAV8-4,SVEP1,FHL5,OMD,PPP1R17,FAM43B,TEKT3,KBTBD12,RGN,CD52,SCGB2A1,RUNX1T1,RASEF,RP11-330A16.1,RP11-239A17.1,GLTPD2,PTPRD-AS1,KIF26B,CLDN4,SYTL3,NBAT1,JPH2,KLHL13,ITGBL1,PTK6,MS4A1,AKR1B10,IGSF9,TRGV10,AC002331.1,GAL3ST1,FCRL3,TRBV6-5,ANGPTL2,TSNAXIP1,PIH1D2,NOG,CCDC148,DNAH6,SYNPO2,NME5,LY9,RP11-342D11.3,WIF1,AC104820.2,MALL,HMGCLL1,CLSTN2,CLDN16,LAPTM5,RP11-125O18.1,LINC01317,NR2F1,GUCA2B,CDHR5,CTD-2626G11.2,AK8,RASSF10,ADAMTS16,RP11-620J15.3,TRAV36DV7,C7ORF57,HYDIN,GJC1,HHATL,ZBBX,FAM170B,MDK,RP11-428G5.5,PCDHB11,KRT16,SPSB4,SFTA2,C2ORF73,KLK11,TDGF1,PIP,COL6A2,C6ORF118,ELOVL2,SRGN,EPN3,SFTPD,CHRDL1,CST3,TRAV13-1,TRAF3IP3,SPRR3,LAT,RP1-142L7.8,LGR5,TEPP,CGN,ATP8A2,TRBV14,PROK2,PLA2G2F,CCNA1,HMGCS2,RERGL,LUM,TMEM184A,FIBCD1,TRBV2,BOC,CD160,PLEKHH2,CD164L2,PGLYRP2,SLC44A4,CLDN7,GML,RP11-522B15.3,CKB,AOX1,TNFSF8,SCNN1A,FOXL1,LINC00702,KIR2DL3,SPINK4,COL10A1,TFF1,FXYD3,TRAV6,CSDC2,LRRC46,HMCN1,CXCR5,CYP2B6,TRGV4,S100B,PTPRC,CCR6,CD2,MMP13,TMEM212,ART4,ROPN1B,RP11-753D20.3,TRAV23DV6,CYP4B1,VWF,MUC1,ADGRF1,PTN,VEGFD,SFRP4,AKR7A3,CAPS,FAM183A,VWA3B,LCN2,FCRLA,SPATA17,NGF,C1QTNF4,SLIT2,PCDH8,MYL9,RIBC1,SCN2B,TBX4,FAM83B,TRAV12-1,CERKL,MUC5AC,RP11-368I7.4,MAMDC2,GPX2,RIIAD1,TRBV6-2,CDH6,FABP6,LRCH2,BICC1,ONECUT3,FRMD6,TRAV1-1,TRBV5-1,SFRP2,TACC2,SYNDIG1,MTUS1,PACRG,AGTR1,COL14A1,PPIL6,PDZK1IP1,RP11-486M23.1,KLRC2,SV2B,TPPP3,RBPMS,GPR65,RSPH1,AGR2,PALM3,GATA6-AS1,ELF5,PDCD1,IL12RB1,LRRC17,LINC01117,RP11-879F14.2,MYRF,CD248,ZFPM2,FYB,EMILIN1,PLAC9,LTBP2,BMPER,HOXB8,HSD17B2,TRAC,ANTXR1,CST2,HOXD9,LRRC66,SEMA3A,SCN7A,ADGRF5,CD244,GPR171,HOXA2,ENOX1,TBX2,SPAG6,PALM,GRIN3B,POSTN,CCDC113,RP11-796E10.1,KLRB1,LIM2,C1ORF64,MORN5,LRRC18,XCL1,FCRL6,ANGPTL1,RP11-297L17.2,SELL,MEG8,ARL14,UBASH3A,VPREB3,ADAMTS3,CDH17,CGNL1,RP11-467J12.4,CASC9,CD79A,RNASE1,ADH1B,CACNA1C,KCNRG,THBS2,ENTPD8,AP000344.3,SERPINB4,SOX17,PSCA,SPINK5,AC007349.5,DZIP1,IL18RAP,EVI2A,TIGIT,CDH1,TRPC4,PIGR,EPB41L2,TRAV13-2,TCF21,SYT13,MFAP4,CTA-363E6.2,SPINK1,COL5A2,COL19A1,SH2D1A,CD247,ACAP1,AKAP14,GFI1,CTD-2506J14.1,AGMO,LOXL1,FBLN2,MROH9,ODAM,CFAP126,CFAP52,PTH1R,DNAJB13,PRKG1,RP11-344P13.6,FAM13C,FIBIN,SCEL,CCDC60,CD93,SPRR1B,RP11-731D1.4,RP11-973H7.1,TMPRSS4,RGL4,LRP3,SLCO1C1,COX4I2,LINC00668,C1QTNF7,RP11-193M21.1,CTB-41I6.1,LMO7,IFI27,FAM216B,MUC4,SPRR2D,SERPINB3,RHOH,PLPP4,RP4-666F24.3,GSTM5,UCHL1,MS4A3,CBLN4,SEMA3F,ITLN2,GZMK,RUNDC3B,ADAMTS12,EYA4,RP11-321G12.1,PDE1C,COL5A1,RGS7BP,GPR176,C4ORF22,FAM83E,ELN,IL17F,AC093375.1,GZMH,ARHGEF38,DLC1,SLC38A4,CBLC,SPEF1,TPM2,SALL1,TMEM156,REG4,KLRC4-KLRK1,CFAP47,C1QTNF3,TRAV5,PRSS8,ANXA10,PTPRD,CD96,C11ORF70,TRAV27,CD6,KLRG1,TMEM244,TMPRSS2,IL2,ROPN1L,IL22RA1,ASPG,TMEM119,KB-173C10.1,KCNJ15,DRC1,NGEF,POU2F3,SLC9C2,MFAP5,RP11-445L6.3,STOX1,FCRL2,COL6A3,ECT2L,DUOX2,IL1R1,CEACAM5,CD28,C11ORF16,CLDN3,CFAP46,FGF14,AKNAD1,FNDC9,MYOC,CFAP77,SMOC2,CAMK4,FOXF1,SEZ6L2,C20ORF85,DOCK1,FKBP1A,MYL3,RP11-129I19.2,C4BPA,CASC1,ADAMTS4,RP11-222K16.2,TAGLN,PCGF2,TFF2,WDR72,CACNG6,CTD-2334D19.1,RGS11,EBF3,KLK7,CFAP57,VWA3A,SLAMF1,COL11A1,ASPN,RSPH10B,TNXB,BTLA,KLHDC7A,GALNT15,NMNAT2,RP11-10A14.5,C2ORF40,RP11-247C2.2,PXDNL,SIT1,SLIT3,IL12RB2,SPIRE1,MMP11,CFAP53,RP11-104L21.3,AOC1,AMN,IQUB,PRRX2,RP11-347J14.7,NTF3,SUGCT,MUC5B,FAM101A,ZNF831,IL7R,NCAM2,APOBEC3H,GLOD5,CORO1A,RERG,TRGC1,LMOD1,GPR4,LINC01615,DNAH5,TRAV14DV4,CHST6,TRDC,CD3G,GGT6,FBLN1,ZMYND10,FOXA2,ANGPT1,KCNJ16,GLT8D2,MGP,MEG3,LYPD8,HHEX,TTC29,LINC00675,SLFN12L,PDE5A,FAM3D,ANKUB1,RP11-275I4.2,ERN2,C22ORF23,HEATR9,IGLV5-48,CPXM1,TAGAP,ADIRF,ERICH3,RP11-297J22.1,MS4A8,ARHGAP9,ANO2,FGF1,RP11-395E19.6,C9ORF24,ITGA8,EPHA3,ADAMTSL2,SEMA3D,IL26,C9ORF135,KIR2DL4,LINC00922,LRRC73,CLIC2,MAB21L3,PLPPR1,FAM81B,GPRC5A,LGALS1,TRBV3-1,RP11-54A9.1,PGM5P4-AS1,GNGT1,MRLN,KIRREL,TJP3,RSPH10B2,ADAMTSL1,CCL15,KRT73,ISLR,PPFIA2,IQCD,AC097713.4,LRRC74B,TRAV30,RAD51AP2,DIO2,TLL1,RGPD4,MSMB,TRIM31,SGCA,SPARCL1,P2RY8,PDGFRA,WFDC1,SUSD5,AP1S2,IL22,AK7,EBF2,NXN,ST8SIA2,COL6A5,TRAV29DV5,PTPN22,CCL21,TRAV1-2,GFRA1,WISP2,AGR3,TRAV19,TRGC2,SAMSN1,SPOCK2,ZBED9,TTLL6,CTD-2008P7.9,TRDV1,LINC00402,SRPX,CKMT1B,KCNK1,DYNLRB2,PCDHB7,C11ORF88,C11ORF97,TRAV9-2,CAPSL,RP4-621F18.2,HOXB5,GAS1,HDC,F10,RP5-1172A22.1,LINC00861,MOV10L1,DRC7,NOS1AP,ROBO2,FXYD4,PRAP1,DNAH12,FAM162B,C1ORF87,CCM2L,S1PR4,CDH19,ICOS,PCDHB14,HSPB7,IGKV2D-28,SNTN,STOML3,NAV3,FBXO15,SPRR2A,CLEC2D,CSMD1,CXCL12,CARMN,FER1L6,AC006273.5,AC112715.2,AC195454.1,CXCR6,ROR2,S100P,SMCO3,EDIL3,MRGPRF,CCDC181,SULT1A1,GCSAM,CAPN9,RP11-87C12.5,LINC00563,LRRC15,SFTA1P,SCARF1,TNFRSF13C,AMY1B,RP11-598F7.6,NES,ARX,GRAMD2,MKX,HNF4A,DNER,FCER2,CD48,SPOCK1,ACKR1,NKG7,CYP4F11,KLRK1,FGL2,CD34,HTR1F,PPP1R42,DMBT1,WNT4,LDLRAD1,OPRM1,EPPIN,TMEM232,GAS2L2,ERICH5,PRRX1,SSTR3,KLK13,PLA2G4F,COL15A1,CD3E,TRAV17,SDR16C5,LINC00158,NKX6-1,TSPAN12,GABRD,TAGLN3,PGR,CEACAM7,STX19,RBBP8NL,RASAL3,SPINK8,PCLO,CFAP161,P2RY10,ITGB3,INMT,KRT72,DEFB4A,ENPEP,LINC00494,FMO1,C16ORF71,TRAV8-6,PDZRN3,TNFRSF13B,RP11-325F22.2,LINC00891,PEG10,RP13-870H17.3,CYP3A4,MYL2,IRGM,SPN,C2ORF50,CILP2,C10ORF107,PABPC5,LAMA4,SMIM24,FMO3,PCDHB15,SPATA4,IGFBP7,EOMES,GATA3,TSPAN19,ARMC3,GPC3,USH1C,RP5-887A10.1,TRBC1,MXRA5,TKTL1,SHISA2,RAB17,C5,MMP2,LMO2,ADH1C,GCNT3,KLK8,WNT2,LINC00384,RP11-693J15.5,FAM166B,ECM2,HSPB6,UNC5A,OLFML2A,CNN1,GZMM,COL4A1,TDRD6,ADAM33,RP11-973H7.4,PKNOX2,ADAMTS8,DUOXA2,ZAP70,LINC01559,SP140,SCGN,ANGPTL5,BMX,WISP1,RP11-493L12.7,VSIG2,PI3,PCP4,DES,CFAP73,CXORF36,KITLG,CXCR4,MUC3A,CTLA4,LINC01186,SLC51B,CCL11,ERBB3,TWIST2,KIR3DL3,MST1R,PDGFRB,IL21,GPR18,HEPH,NKX3-2,CCR4,VTCN1,RBP2,TEKT4,RP11-493L12.5,FCRL5,PAMR1,PTPRH,RHOJ,STMND1,ENKUR,COL6A6,AEBP1,CTB-133G6.1,SELENBP1,TSPAN1,GDF10,WDR78,SPARC,TEKT2,RP11-144A16.8,TRBC2,ALOX15,MSLN,SLC15A1,GRIP2,THY1,CCDC78,TENM3,CFAP43,SGIP1,VCAN,FSTL1,SELE,DLEC1,STAT4,CD3D,CCDC33,CTD-2544H17.1,TYRP1,ANKRD2,CHST4,SLC10A5,GHR,SAMD3,CD36,BHLHE22,LTBP1,KRT1,THEMIS,B3GALT5,AC092484.1,DIO3,AC006129.2,FLRT3,SPATA18,TRAV22,KLK12,TRAV12-2,HGD,CLIC6,ARHGAP39,FAM159A,BGN,CEACAM6,RP11-403B2.6,LINC01197,FAM198B,DYDC2,GTSCR1,RFX8,ANO1,PPP1R1B,HTRA3,LAMC3,RP11-175K6.1,ISLR2,FGD1,PRPH2,PRSS1,GPR20,TEK,RP11-569D9.5,XIRP1,COL4A2,RP11-314C16.1,CAV1,PCDH19,ALDH1L1,CNGA1,ASPA,TRBV27,DNAAF3,CCDC80,RSPO2,AC104024.1,FASLG,EFCAB6,HSPA12B,GPR174,CFAP206,U47924.27,TCTEX1D4,DAW1,EPS8L3,CLDN18,CST7,LINC00839,IGDCC4,EFCAB1,AC109642.1,TDRP,ALPPL2,YAP1,RP1-79C4.4,CDHR4,OMG,JAKMIP1,FAP,OLFM4,WI2-1959D15.1,NID2,TCEAL7,KLRC3,PTPRT,RP3-431P23.5,APLNR,LAMA3,PRR16,C7,CCDC74B,RCN3,EDNRA,IFI27L2,RASL12,MYLK,DNAH9,BCAS1,GSTA3,FOXF2,ATP10B	PMID:35637521	
mmu04979 KEGG cholesterol metabolism (mouse)	ABCA1,APOA1,LPL,LCAT,LIPG,PLTP,LIPC,CD36,LDLR,NCEH1,SOAT1,SOAT2,APOC1,APOC2L,APOC2,APOH,ANGPTL3,ANGPTL4,ANGPTL8,SCARB1,SORT1,APOB,PCSK9,LDLRAP1,MYLIP,APOE,LRP1,LRP2,LRPAP1,LIPA,STARD3,VDAC1,VDAC2,VDAC3,TSPO,CYP27A1,VAPA,VAPB,NPC1,OSBPL5,NPC2,STAR,CIDEB,CYP7A1,ABCB11,ABCG5,ABCG8,APOA2,APOC3,APOA4		Michael Salinas	
mmu04310 KEGG Wnt signaling pathway (mouse)	PORCN,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,WNT10B,WNT10A,WNT11,WNT16,CER1,NOTUM,WIF1,SOST,DKK1,DKK2,DKK4,SERPINF1,SFRP1,SFRP2,FRZB,SFRP4,SFRP5,RSPO1,RSPO2,RSPO3,RSPO4,LGR4,LGR5,LGR6,RNF43,ZNRF3,FZD1,FZD7,FZD2,FZD3,FZD4,FZD5,FZD8,FZD6,FZD10,FZD9,LRP5,LRP6,BAMBI,APCDD1,CSNK1E,CCDC88C,DVL3,DVL1,DVL2,FRAT1,PEG12,FRAT2,CSNK2A1,CSNK2A2,CSNK2B,NKD1,NKD2,CXXC4,SENP2,SEMP2L2B,SEMP2L2A,GM9839,SEMP2L1,GSK3B,CTNNB1,AXIN1,AXIN2,APC,APC2,CSNK1A1,TCF7,TCF7L1,TCF7L2,LEF1,CTNNBIP1,CBY1,CHD8,SOX17,CTBP1,CTBP2,TLE7,TLE6,TLE1,TLE2,TLE3,TLE4,CTNND2,CREBBP,EP300,RUVBL1,SMAD4,SMAD3,MAP3K7,NLK,MYC,JUN,FOSL1,CCND1,CCND2,CCND3,CCN4,PPARD,MMP7,PSEN1,PRKACA,PRKACB,TRP53,SIAH1A,SIAH1B,CACYBP,SKP1,TBL1X,TBL1XR1,FBXW11,BTRC,CUL1,RBX1,GPC4,ROR1,ROR2,RYK,VANGL2,VANGL1,PRICKLE2,PRICKLE1,PRICKLE4,PRICKLE3,INVS,DAAM1,DAAM2,RHOA,ROCK2,RAC1,RAC2,RAC3,MAPK8,MAPK9,MAPK10,PLCB1,PLCB3,PLCB4,PLCB2,CAMK2D,CAMK2G,CAMK2B,CAMK2A,PPP3CC,PPP3CA,PPP3CB,PPP3R1,PPP3R2,PRKCA,PRKCB,PRKCG,NFATC1,NFATC2,NFATC3,NFATC4		Michael Salinas	
Ferri-Borgogno et al (2023) Tumor cell	WFDC2,MUC16,CLDN4		PMID:36787106	
Ferri-Borgogno et al (2023) Stromal cell	COL1A1,VIM,FN1		PMID:36787106	
Cohn et al (2023) Cellular senescence	CDKN2A,CDKN1A,PLAUR,GPNMB		PMID:35599179	
