ID	Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
1	A2M_LRP1	A2M	alpha-2-macroglobulin	LRP1	low density lipoprotein receptor-related protein 1	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	A2M	LRP1	NA	known	literature supported
2	AANAT_MTNR1A	AANAT	aralkylamine N-acetyltransferase	MTNR1A	melatonin receptor 1A	NA	HPMR	NA	NA	NA	NA	AANAT	MTNR1A	NA	known	literature supported
3	AANAT_MTNR1B	AANAT	aralkylamine N-acetyltransferase	MTNR1B	melatonin receptor 1B	NA	HPMR	NA	NA	NA	NA	AANAT	MTNR1B	NA	known	literature supported
4	ACE_AGTR2	ACE	angiotensin I converting enzyme	AGTR2	angiotensin II receptor, type 2	NA	NA	NA	HPRD	NA	NA	ACE	AGTR2	NA	novel	literature supported
5	ACE_BDKRB2	ACE	angiotensin I converting enzyme	BDKRB2	bradykinin receptor B2	NA	NA	NA	HPRD	NA	NA	ACE	BDKRB2	NA	novel	literature supported
6	ADAM10_AXL	ADAM10	ADAM metallopeptidase domain 10	AXL	AXL receptor tyrosine kinase	NA	NA	NA	HPRD	NA	NA	ADAM10	AXL	NA	novel	literature supported
7	ADAM10_EPHA3	ADAM10	ADAM metallopeptidase domain 10	EPHA3	EPH receptor A3	NA	NA	NA	HPRD	NA	STRING.experiment	ADAM10	EPHA3	NA	novel	literature supported
8	ADAM12_ITGA9	ADAM12	ADAM metallopeptidase domain 12	ITGA9	integrin, alpha 9	NA	HPMR	NA	NA	STRING.binding	NA	ADAM12	ITGA9	NA	known	literature supported
9	ADAM12_ITGB1	ADAM12	ADAM metallopeptidase domain 12	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	STRING.binding	NA	ADAM12	ITGB1	NA	known	literature supported
10	ADAM12_SDC4	ADAM12	ADAM metallopeptidase domain 12	SDC4	syndecan 4	NA	HPMR	NA	NA	STRING.binding	NA	ADAM12	SDC4	NA	known	literature supported
11	ADAM15_ITGA5	ADAM15	ADAM metallopeptidase domain 15	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	NA	HPMR	NA	NA	NA	NA	ADAM15	ITGA5	NA	known	literature supported
12	ADAM15_ITGA9	ADAM15	ADAM metallopeptidase domain 15	ITGA9	integrin, alpha 9	NA	HPMR	NA	NA	STRING.binding	NA	ADAM15	ITGA9	NA	known	literature supported
13	ADAM15_ITGAV	ADAM15	ADAM metallopeptidase domain 15	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	ADAM15	ITGAV	9914169	novel	literature supported
14	ADAM15_ITGB1	ADAM15	ADAM metallopeptidase domain 15	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	STRING.binding	NA	ADAM15	ITGB1	NA	known	literature supported
15	ADAM15_ITGB3	ADAM15	ADAM metallopeptidase domain 15	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NA	HPMR	NA	NA	NA	NA	ADAM15	ITGB3	NA	known	literature supported
16	ADAM17_ERBB4	ADAM17	ADAM metallopeptidase domain 17	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	NA	NA	NA	HPRD	NA	NA	ADAM17	ERBB4	NA	novel	literature supported
17	ADAM17_ITGA5	ADAM17	ADAM metallopeptidase domain 17	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	NA	HPMR	NA	NA	NA	NA	ADAM17	ITGA5	NA	known	literature supported
18	ADAM17_ITGB1	ADAM17	ADAM metallopeptidase domain 17	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	NA	NA	ADAM17	ITGB1	NA	known	literature supported
19	ADAM17_NOTCH1	ADAM17	ADAM metallopeptidase domain 17	NOTCH1	notch 1	NA	NA	NA	HPRD	STRING.binding	NA	ADAM17	NOTCH1	NA	novel	literature supported
20	ADAM23_ITGA5	ADAM23	ADAM metallopeptidase domain 23	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	NA	HPMR	NA	NA	NA	NA	ADAM23	ITGA5	NA	known	literature supported
21	ADAM23_ITGB3	ADAM23	ADAM metallopeptidase domain 23	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NA	HPMR	NA	NA	NA	NA	ADAM23	ITGB3	NA	known	literature supported
22	ADAM28_ITGA4	ADAM28	ADAM metallopeptidase domain 28	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	NA	NA	NA	HPRD	NA	NA	ADAM28	ITGA4	NA	novel	literature supported
23	ADAM2_CD9	ADAM2	ADAM metallopeptidase domain 2	CD9	CD9 molecule	NA	NA	NA	HPRD	NA	NA	ADAM2	CD9	NA	novel	literature supported
24	ADAM2_ITGA6	ADAM2	ADAM metallopeptidase domain 2	ITGA6	integrin, alpha 6	NA	HPMR	NA	NA	NA	NA	ADAM2	ITGA6	NA	known	literature supported
25	ADAM2_ITGA9	ADAM2	ADAM metallopeptidase domain 2	ITGA9	integrin, alpha 9	NA	NA	NA	NA	STRING.binding	NA	ADAM2	ITGA9	21060781	novel	literature supported
26	ADAM2_ITGB1	ADAM2	ADAM metallopeptidase domain 2	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	STRING.binding	NA	ADAM2	ITGB1	NA	known	literature supported
27	ADAM2_ITGB7	ADAM2	ADAM metallopeptidase domain 2	ITGB7	integrin, beta 7	NA	NA	NA	NA	NA	NA	NA	NA	21060781	novel	literature supported
28	ADAM9_ITGA3	ADAM9	ADAM metallopeptidase domain 9	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	NA	NA	NA	HPRD	NA	NA	ADAM9	ITGA3	NA	novel	literature supported
29	ADAM9_ITGA6	ADAM9	ADAM metallopeptidase domain 9	ITGA6	integrin, alpha 6	NA	HPMR	NA	HPRD	NA	NA	ADAM9	ITGA6	NA	known	literature supported
30	ADAM9_ITGAV	ADAM9	ADAM metallopeptidase domain 9	ITGAV	integrin, alpha V	NA	HPMR	NA	HPRD	NA	NA	ADAM9	ITGAV	NA	known	literature supported
31	ADAM9_ITGB1	ADAM9	ADAM metallopeptidase domain 9	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	NA	NA	ADAM9	ITGB1	NA	known	literature supported
32	ADAM9_ITGB5	ADAM9	ADAM metallopeptidase domain 9	ITGB5	integrin, beta 5	NA	HPMR	NA	NA	NA	NA	ADAM9	ITGB5	NA	known	literature supported
33	ADCYAP1_ADCYAP1R1	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	NA	HPMR	IUPHAR	HPRD	NA	NA	ADCYAP1	ADCYAP1R1	NA	known	literature supported
34	ADCYAP1_SCTR	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	SCTR	secretin receptor	NA	NA	NA	HPRD	NA	NA	ADCYAP1	SCTR	NA	novel	literature supported
35	ADCYAP1_VIPR1	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	VIPR1	vasoactive intestinal peptide receptor 1	NA	HPMR	IUPHAR	HPRD	NA	NA	ADCYAP1	VIPR1	NA	known	literature supported
36	ADCYAP1_VIPR2	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	VIPR2	vasoactive intestinal peptide receptor 2	NA	NA	IUPHAR	HPRD	NA	NA	ADCYAP1	VIPR2	NA	known	literature supported
37	ADIPOQ_ADIPOR1	ADIPOQ	adiponectin, C1Q and collagen domain containing	ADIPOR1	adiponectin receptor 1	NA	HPMR	NA	NA	STRING.binding	NA	ADIPOQ	ADIPOR1	NA	known	literature supported
38	ADIPOQ_ADIPOR2	ADIPOQ	adiponectin, C1Q and collagen domain containing	ADIPOR2	adiponectin receptor 2	NA	HPMR	NA	HPRD	NA	NA	ADIPOQ	ADIPOR2	NA	known	literature supported
39	ADM2_CALCR	ADM2	adrenomedullin 2	CALCR	calcitonin receptor	NA	NA	IUPHAR	NA	NA	NA	ADM2	CALCR	NA	known	literature supported
40	ADM2_CALCRL	ADM2	adrenomedullin 2	CALCRL	calcitonin receptor-like	NA	HPMR	NA	NA	NA	NA	ADM2	CALCRL	NA	known	literature supported
