genes	D1	D2	DD
COL3A1	0.527369263460989	0.0830796097856014	0.444289653675387
CTGF	0.437874824734573	0.0186238005433893	0.419251024191184
ACTA2	0.413581281871745	0.011091655444651	0.402489626427094
COL1A2	0.837583848716747	0.444963682575548	0.392620166141198
IGFL1	0.451155510552681	0.0725381502154421	0.378617360337239
COL6A1	0.423783192653783	0.0476160448579786	0.376167147795805
COL1A1	0.847989339342988	0.473490683142915	0.374498656200074
SPRR2F	0.368737864553593	0.0202402147594431	0.34849764979415
PLIN2	0.369138619780185	0.0223591828819092	0.346779436898276
ESM1	0.444810338341817	0.0982927696155768	0.34651756872624
CH25H	0.357980713307545	0.0157013469212218	0.342279366386323
VIM	0.747057482999321	0.405509445820929	0.341548037178392
TAGLN	0.715428635980063	0.377137949312107	0.338290686667956
SERPINE1	0.401297899637814	0.0636726234302172	0.337625276207597
BPIFA1	0.513739344737313	0.178848962573412	0.334890382163901
COL4A1	0.350761167098732	0.0223454145408307	0.328415752557902
TIMP3	0.453103925229046	0.125756216060557	0.327347709168489
IGFBP5	0.887654240725793	0.560876536358326	0.326777704367468
SPARC	0.80319764112317	0.483521565820671	0.319676075302499
DKK3	0.314727094079828	0.00404451022229063	0.310682583857537
PSCA	0.45790301736445	0.152129690561101	0.305773326803348
NREP	0.353818944973602	0.0701985024854863	0.283620442488116
VCAN	0.290460861556486	0.0131410381804828	0.277319823376003
LYNX1	0.310226430211278	0.0353554060187209	0.274871024192557
MYL9	0.517597013395115	0.242859721094514	0.2747372923006
C11orf96	0.309213943108053	0.0360225916017509	0.273191351506302
IL19	0.314758827824602	0.0526272338973477	0.262131593927254
TPM1	0.384781479686571	0.134833720381053	0.249947759305518
CALD1	0.247386496934598	0.00330731464679328	0.244079182287805
KRTAP2-3	0.252206079235255	0.0171708343725116	0.235035244862743
SNHG12	0.226983841270356	0.00403672814091362	0.222947113129442
IL20	0.250343453957698	0.0311195920771455	0.219223861880552
TPM2	0.501539433711772	0.2833238841812	0.218215549530572
POSTN	0.623888236799808	0.407495966334173	0.216392270465635
FSTL1	0.23298123001979	0.0207648744530704	0.212216355566719
CCK	0.306873356982323	0.0952069191788072	0.211666437803516
LOXL2	0.241933575011687	0.0309597339257379	0.210973841085949
TFF1	0.279676428065458	0.069680750887258	0.2099956771782
C12orf75	0.307915400466011	0.100785062198401	0.20713033826761
SUGCT	0.550078814050041	0.343121254381108	0.206957559668933
ANKRD1	0.206773060781827	0.0102779742470714	0.196495086534756
PPBP	0.804624215128386	0.614985425739358	0.189638789389028
CEACAM5	0.210185616075123	0.0239801805700108	0.186205435505113
AMTN	0.362976925603307	0.176837767443205	0.186139158160103
MFGE8	0.199210428961348	0.0160307431652676	0.183179685796081
SBSN	0.265374158662089	0.0858859158201939	0.179488242841896
SNHG8	0.18370366396091	0.00508347324184318	0.178620190719067
COL4A2	0.184036301091665	0.00667595903603868	0.177360342055626
ATP2B1	0.31308060208125	0.140197627954086	0.172882974127164
CLDN11	0.233496995899456	0.0606463362013272	0.172850659698129
TUBA1A	0.378717361210138	0.205952458995874	0.172764902214264
MT-ATP6	0.318881496114951	0.147431592395047	0.171449903719903
CLDN10	0.318728752832866	0.1526886234663	0.166040129366565
MT-ND4	0.344202582053171	0.185388677353233	0.158813904699939
TGFBI	0.322033572347147	0.164859550674142	0.157174021673005
MT-CYB	0.282175310623515	0.127491826688003	0.154683483935512
PPP1R14A	0.19936765494143	0.046412660811631	0.152954994129799
CST2	0.379503747657925	0.230141243626693	0.149362504031232
MT-CO3	0.331243377457745	0.183099394141599	0.148143983316146
MUC4	0.209768616553025	0.0624407944658309	0.147327822087194
KIAA0101	0.614879745548042	0.468158574538014	0.146721171010028
TEX26-AS1	0.288370185394028	0.14289184749019	0.145478337903838
SERPINE2	0.168963075065526	0.0239397225997625	0.145023352465764
CCL2	0.78285528583667	0.638313434602518	0.144541851234153
FEZ1	0.241886216394698	0.0984741077817619	0.143412108612936
CYP24A1	0.261942818326518	0.118558772911942	0.143384045414576
COL17A1	0.189839881809053	0.0468230574668418	0.143016824342211
POU2F2	0.374413238423435	0.232164422354053	0.142248816069382
AKAP12	0.384354934770801	0.242129736595874	0.142225198174926
ZG16B	0.248281530902768	0.107691249738064	0.140590281164704
IGFBP4	0.168194629543754	0.0298233595480132	0.138371269995741
NT5E	0.181014476177518	0.0460070655202403	0.135007410657278
LGALS1	0.317131461656907	0.184900229818832	0.132231231838075
NPPC	0.231629011945589	0.0994116038548188	0.13221740809077
KRT6A	0.411997287916216	0.281093081700819	0.130904206215398
LINC00152	0.184635200251312	0.0538875538020652	0.130747646449247
UCHL1	0.332417673783453	0.201723733437548	0.130693940345905
HRASLS2	0.380178220254133	0.251205147720822	0.12897307253331
DEFB1	0.173789815909713	0.0464604101928606	0.127329405716852
MT-ND5	0.249389146024114	0.122362972765637	0.127026173258477
SELM	0.253940497222809	0.126977724132353	0.126962773090456
MT-CO2	0.331106912609736	0.204326138621777	0.126780773987959
CXCL6	0.396909074362178	0.270585034978015	0.126324039384163
RNASE1	0.293465060148021	0.167229635326561	0.126235424821459
KRT5	0.298012499512469	0.17327653487131	0.12473596464116
KRT23	0.419124055786946	0.294598122690173	0.124525933096773
GLIPR1	0.127965460984895	0.00359298181491154	0.124372479169983
FAM84A	0.130449875215512	0.00704150127026907	0.123408373945242
MMP13	0.251140312739604	0.129578033062334	0.12156227967727
COL8A1	0.16034604913333	0.0389705014178984	0.121375547715432
FBXO2	0.157841971277154	0.0370255839649912	0.120816387312163
IL7R	0.272162538383066	0.154783119303577	0.117379419079489
RRM2	0.582197610918675	0.465026321556642	0.117171289362033
GJB2	0.285210414181163	0.168304490593545	0.116905923587618
NKX3-1	0.429509435765676	0.314047006408895	0.115462429356781
P4HA2	0.133890131119724	0.0185536300450364	0.115336501074687
MT-CO1	0.295229219973365	0.181233122012565	0.1139960979608
HMGA2	0.226450563787872	0.112617156659912	0.11383340712796
ARNTL2	0.125123498801782	0.0121730259252049	0.112950472876577
CCL28	0.178350313415662	0.0669530218782611	0.1113972915374
COL5A2	0.177597777220343	0.0665111084802703	0.111086668740072
MT-ND3	0.269673240635788	0.158591746838635	0.111081493797153
IKBIP	0.215227773037278	0.104403666820312	0.110824106216965
OVOS2	0.402923363095776	0.292342963629585	0.110580399466191
PTRF	0.158442318228186	0.0482073474143122	0.110234970813874
WNT7A	0.186343772789302	0.076257021227617	0.110086751561685
ACKR3	0.233593203268496	0.123867546963055	0.109725656305441
EMP3	0.321263261890887	0.212955787126079	0.108307474764809
CTNNB1	0.155928628893369	0.0482684985149675	0.107660130378401
S100A7	0.466102288792973	0.35892870236734	0.107173586425633
C16orf74	0.150657419539296	0.0445200177902122	0.106137401749084
FTH1	0.354353035714553	0.248682276130337	0.105670759584216
TMC5	0.176592532018527	0.0709466771262164	0.10564585489231
TIMP2	0.117836947748297	0.012233413917603	0.105603533830694
CTSH	0.191296402245586	0.0860199407059987	0.105276461539588
LAMC2	0.190624267482268	0.0870576124936958	0.103566654988572
TAF1D	0.125975732463247	0.0227581515547809	0.103217580908466
MT-ND2	0.24392624084235	0.142033700027957	0.101892540814392
MT-ND1	0.253172474109147	0.15133508035588	0.101837393753268
C9orf16	0.108610917665673	0.00709936699319852	0.101511550672474
CDKN2A	0.329584639382961	0.228202776580395	0.101381862802567
IL33	0.445896054319772	0.344824925759518	0.101071128560255
IGFBP7	0.185509055309002	0.0853777793012809	0.100131276007721
AXL	0.17368925770307	0.0743869682140059	0.0993022894890637
SNAI2	0.166214518412445	0.0673002360405847	0.0989142823718599
FBXO32	0.301139149018517	0.202224898168113	0.0989142508504034
APOE	0.285498181731837	0.187371654033532	0.0981265276983054
INSR	0.33180386610108	0.234189518865354	0.097614347235726
LIMCH1	0.212376373563034	0.114898540836508	0.0974778327265253
TMPRSS2	0.189982463024536	0.0926040911763032	0.0973783718482323
AQP5	0.207967761598413	0.111893878052281	0.0960738835461328
PLOD2	0.100921939672584	0.00488809395621784	0.0960338457163664
CYR61	0.384683217045061	0.28949376027023	0.0951894567748306
SMAD1	0.123734838910374	0.028740554276614	0.0949942846337603
TP63	0.166707614064007	0.0720469712818619	0.0946606427821447
HLA-E	0.101643282741371	0.00734879289314809	0.0942944898482231
DDX5	0.1383494404584	0.0445381405403471	0.0938112999180529
ADIRF	0.29388844938953	0.200538405663386	0.0933500437261442
RGS10	0.136833479199927	0.0436842446144329	0.0931492345854945
SLC9A3R1	0.185597256877194	0.0932909951110436	0.0923062617661504
PDLIM7	0.15956174288309	0.0672893175503944	0.092272425332696
RPS4Y1	0.120587190576131	0.0283389845547684	0.0922482060213622
NR4A3	0.111089137244213	0.0189455742436116	0.0921435630006009
HIST1H4C	0.368642363751771	0.277005559231933	0.0916368045198376
ZP3	0.218030352444814	0.126784570483732	0.091245781961082
TFPI	0.251775697174266	0.160751070962202	0.0910246262120643
ENC1	0.152658982265258	0.0618418857862034	0.0908170964790549
ID3	0.310773830625296	0.220257320795514	0.0905165098297826
BNIP3	0.171115748070617	0.0806110809942058	0.0905046670764115
VMO1	0.123157825799454	0.0328870945584927	0.0902707312409608
RNF213	0.145138046144924	0.0550191271984832	0.0901189189464409
RTTN	0.116090668420405	0.0267689343986608	0.0893217340217446
HSPA5	0.181388322269849	0.0932044216695492	0.0881839006003
HAS3	0.187361027434604	0.0992837367060099	0.088077290728594
ITGA6	0.115842147930931	0.0280465988140756	0.087795549116855
ODC1	0.216173091775854	0.128798201042616	0.0873748907332384
PRSS22	0.0986595227828076	0.0115930128404213	0.0870665099423863
SMIM22	0.111963281340375	0.0249359514048491	0.0870273299355262
