,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
STX6,8.190087382,5.81760791,3.314363,0,0,0,0,0,3.815472961,0.142348082,7.188680819,4.304532945,6.288002274,0,3.225938121,5.57408031,0,1.428571222,7.14488559,9.056777237,8.378759565,4.642580283,0.416623592,3.120103064,2.933931379,0,0,0,0.792688798,2.541118304,0.54399072,0.14574266,4.930813018,5.798426438,8.663423257,0,3.421169429,0,0.182692298,9.569640327,0,5.486164088,5.067690339,0,0,1.228541666,10.57441036,5.506570208,0,8.259856698,0,6.646459347,4.374288339,0,0.451224302,0,0,6.000419222,2.821485733,0,0,7.651129207,2.476692747,8.237342869,0,0,4.514986987,5.654504283,2.41705586,0,1.565987041,0,7.914476027,0,2.071865617,4.919106448,4.867397363,1.281905924,3.077824062,6.818075947,2.905581959,3.981551299,2.473968698,1.795600729,6.646326852,8.116743182,3.829230549,0,0,2.52539239,7.732992266,5.424340998,0,0,4.620099565,1.253807784,0,0,0,9.059768148,2.758495069,0,0,8.277123707,0,1.066123642,3.355960644,0,7.204785332,7.699144179,6.862918741,8.149809601,5.812598338,0,0,0,0,0,4.183049749,0,0,0.215864939,3.082702589,7.258704526,1.735522177,0,0.184597684,0,0,0,1.477262849
MRPL28,9.219660067,5.812929429,9.186310383,0,0,3.712375673,7.647494403,8.862045282,9.317891021,0.325846898,0,4.551700572,0,0,7.512945052,9.442061441,4.082302353,0,8.772225815,9.804592803,5.43189369,1.766255914,3.054310187,8.666971702,8.662034198,1.990228793,9.108452059,0,0,1.518585494,0,3.03885755,6.448831589,9.044649574,3.649856846,0.437121184,0,8.073892516,1.400046018,8.205907585,4.941087526,8.219715963,8.116243099,0,4.702053524,8.752957609,0,8.358612523,0.680954414,0,0,0.58870864,0,0,7.891499996,0,0,0,7.748562535,0,2.907679053,4.741564062,0,0,0,0,0,0,6.402454443,4.791152467,6.241485566,0,8.552407814,0.863383461,0,0,2.056340747,7.870036068,0,0,0,0,6.126712732,5.713923967,0,6.337332888,0,0,0,6.345956936,6.715595523,0,5.297558281,1.378511623,1.055681562,8.185344762,6.618803933,0,0.614003045,0,0,0,0,0,4.581598304,0.678252231,1.65209637,2.223916751,3.293782456,0,2.74805327,0,0.943283738,0,8.32579609,0,11.13176001,6.133072324,4.796680808,3.852877774,0,8.006391163,0,0,0.659924558,0.353662045,8.583203896,4.546956178,0,8.289846912,7.654808569
CUTA,6.801613954,8.287910419,7.661277164,0,0,8.01773822,5.648474072,6.480334605,8.630844088,0,0,0,6.462117775,0,7.263406303,8.100529889,0,0,9.175999566,7.020218817,7.210971296,7.707169291,0,5.55568427,0,0,0,0,0,5.143389337,7.932540761,0,6.860502263,6.373653431,0,8.815798271,7.696338861,0,8.331035156,0.612305313,7.606743498,0,7.992357743,0,0,8.969002807,0,7.899048712,0,0,0,0,2.745732131,0,8.784590026,0,0,6.615277977,3.836116017,5.326778209,0.921207797,0,0,8.632599401,0,0,5.521041312,8.578602523,4.800195848,0,6.793365306,5.484318618,6.600482371,0,0,0,0,7.744012377,3.765757498,8.057055427,1.906120953,0,0,7.109892278,0,7.411656733,6.182646617,7.208256797,0,0,7.097502295,0,0,0,7.847345543,8.498371752,5.738624641,0,6.18003445,0,8.623553418,0,8.629901171,0,6.68166571,3.524113838,0,4.064719056,0,0,0,0,0,3.986274396,8.77812478,0,0,0,6.063953714,9.087861119,0,3.597590764,0,1.284099506,7.273833822,0,4.648568982,6.547455999,0,4.668641088,0
AI413582,4.900977873,4.789645796,7.844860146,0,0,6.706479441,2.211915542,6.946094512,8.670497632,8.676970796,4.140165135,9.417062402,3.197991166,10.77726715,7.749721967,8.546126618,7.096789988,1.294606046,8.968632525,5.493890666,7.881728849,9.384369766,1.288712917,0,8.790427676,6.598817763,7.652128645,0,0,6.676783612,8.140791435,7.582404711,6.740642932,1.381560255,8.424846106,0.7114068,7.988389302,0,8.535306486,0,0,0,9.817773371,0,0,9.103611198,0,7.936801631,10.92086828,0,0,0,7.20416322,7.56193706,8.682257252,0,7.853903979,0,5.803394962,7.889314127,0,0,0,0,0,0,4.669372653,5.905290722,0.697862762,5.237628724,6.931686602,0,4.640615144,1.287176752,0,7.379520463,0.608809243,8.695563779,7.342360956,0,0,0,5.036894505,4.456024149,1.283388439,0,0,7.517770157,2.039910433,7.670083306,4.919111216,0,0,7.620239623,6.727008274,8.546386727,2.990809676,0,0,6.288378866,6.331952379,0,0,0,2.594739622,7.081084994,0,0,11.34632131,8.281322229,0,0,2.378483879,8.425956891,0.47736648,0,0,0,0,6.712690691,0,0,0,0,1.048096653,1.341074883,0,6.918693919,0,4.743541896,0
SNRPC,0.812867836,4.832044398,6.218170876,0,4.088947205,0,0.50873288,2.959232289,5.950664368,0.45438649,0.523361219,0,0,0,3.466848956,4.229764788,1.310107409,0,2.977481429,1.702790505,2.382030833,6.280969301,0,6.34985178,4.378400642,0,0,0,5.384847629,0,5.404637496,6.395117654,0,2.73435195,0.657457085,7.031179023,4.675940101,3.517552866,3.794103899,6.929742481,0.916017966,0.516015147,3.820934583,0,0,6.231497691,0,5.608031515,1.849358809,0,0,3.392015112,2.020875517,3.910521614,4.808910133,0,4.833684543,6.071781973,2.553557109,0,3.605126857,0,4.063149128,0.422125333,0,0,6.552716738,0,0,5.720814724,0,3.981158532,5.021861671,2.185359135,6.72867291,4.56752111,3.588264894,0,4.574095451,0,0,0,0,4.166707412,0,3.751913556,0,7.815996111,0,4.695849091,0,0,1.325731791,0,4.33406765,0,1.93903847,0,5.025303483,3.590925323,0,3.494914771,8.227544709,0,2.911250558,0.52476579,4.328312301,0,0,3.189413431,0,0,5.928628516,0,0,0,5.655185795,7.215433015,5.269422203,2.800972356,0,0,0,0,4.116273254,2.355608336,4.485124087,0,4.983636657,6.500575818,4.286097504
MTCH1,7.312239497,0,5.472711957,3.330859528,7.108145961,8.159744213,0,6.025744204,1.146720383,4.75362058,5.503844815,0,0,0,5.550599046,0,1.374733478,4.182739963,6.899436684,6.498814111,7.440044416,4.975951116,4.852333496,5.672422513,5.42290238,2.315769086,0,0,0,7.017048902,5.650776045,1.352419559,5.206901048,4.172119434,6.768625007,0,2.67813953,0,1.481712262,6.325366625,0,6.27207546,5.693729477,4.314152694,0,3.272381578,0,0,7.336752009,0,0,3.815944253,2.779679964,4.845168859,6.098392185,0,1.706862041,7.015338107,3.666574824,6.170964569,5.74111908,0,6.732065645,0,0,0,0,0,0,4.034532679,6.074094354,0,2.719599648,0,0,3.852927698,0,8.256470544,5.257889398,1.665938454,3.289686943,0,0,0,0,1.72704913,4.970411945,7.741714381,0,0,3.380978741,0,0,0,0,0,3.711759193,0,0.650580765,0,0,6.709365085,0,0,7.87606258,0,0,0,1.792855352,5.92742954,6.156938577,4.184708754,0,5.839664873,0.162338958,0,6.618749617,4.397775586,0,7.340821269,0,0,0,0,0,0,5.922987498,0,4.969086007,1.904580435,2.612258125
FTSJD2,3.046752964,0.215243704,0.48326116,0,0,0.072586047,0.10648233,5.093551725,0,5.697784938,3.957988867,6.168836558,0.680414382,0,0,7.65793863,0.952706308,7.036520917,2.399909346,2.044953602,2.98469871,0,0.282854909,0,0.086919607,0,0,0,0,0.314406508,3.279530726,4.123748955,4.007240361,0,0,5.172251474,3.886696458,7.578011076,0,0,5.408545439,0,2.14018968,0,0,5.987993845,0,5.442031159,0,7.627471871,0,2.707038804,5.64460908,1.196418197,1.048236186,0,0.313245852,0.533663013,5.605962434,4.515188892,4.900195406,5.978916339,5.492295455,6.940609595,4.370352628,0,0,6.839784529,0.239520247,1.815165514,3.035219195,6.534614152,3.106666575,3.125915549,1.112366523,5.510050456,2.817152514,0.453649266,2.255591371,4.911964757,1.718219131,1.392647144,7.587134675,0.437014622,2.97522663,7.286742563,6.196650318,0,4.847981878,2.029028761,4.020751089,2.500598124,6.013312623,5.23700149,3.013212111,4.26939976,0,0,4.922064612,1.861717211,0.899639694,0.460061021,0,6.53169492,4.883567056,5.74517816,0.317072478,1.156137698,0,1.206955732,3.278222698,0.684728987,0.316956668,2.212226911,0.60245688,0,0,8.392650149,5.931692511,0,0,0.501107892,2.499399459,0,6.775857814,3.48453775,0,4.337939394,0,0,5.764585013
ZFP871,4.093103769,0,4.904517817,0,0.182183769,1.443182267,1.401630467,4.511499666,0.744247224,1.98564615,0,0.588996402,4.439151026,0,1.128689329,3.374330077,6.747249086,1.5922537,4.940317121,1.317825012,0,3.144715338,2.535007812,4.050371092,4.597543092,0,0,0,5.85340438,0.058385771,0.486250989,0.033370138,3.325156118,3.80325804,0,0.13093087,0.227001675,0,0,1.779511881,3.116730708,0,1.926720586,0,1.726961969,0,0,2.396543134,0,6.080416768,0,5.394719913,0,0,3.322807871,0,0.114500293,3.832707767,3.218471211,2.651040207,2.448557411,2.694479079,1.973831658,0.029134804,0.187007567,0,4.187625244,5.293639015,6.022824964,1.871567697,0,0.272978695,4.559822164,5.454412813,6.630319553,6.202580319,0.989792978,6.931827225,2.560470409,0.674822184,0,0,1.849078522,0,5.834761772,5.164323699,3.246833688,0,0,0,3.155894919,0,0,1.00266652,2.106415327,0.381172605,0,0,0,0.833821138,1.628820246,0.125651102,4.276526442,0,1.719709156,0.038295698,2.509062386,0.116098552,0,4.812683043,0,0,5.059121617,3.415244872,0,0,0,3.584842271,3.337725362,5.3710988,0.195977459,0.144568518,6.151288557,0,2.979494935,1.223546116,1.146003451,2.46850512,0,2.543644352,2.371586741
AGPAT1,2.335083023,2.411236405,0.559149148,2.219369903,1.348855601,1.831350318,0,0,1.635290054,2.111198281,3.781506599,0,6.578805907,0,0.645148266,2.709224456,0.613720228,0,4.251287355,3.140255134,0,4.002387487,0,0,1.38084025,8.57396182,3.753679407,0,0,1.555865225,2.177439471,0.346871814,2.44845169,0,0.275722256,1.768332557,6.588065464,3.136683578,1.025808419,3.893983426,3.903472171,2.822159074,6.278821119,0,3.838397165,0.252536767,8.684044105,1.473475225,0,0,0,0.340619235,3.540101684,2.362582102,3.57597785,0,6.415189087,6.555156609,2.612352499,1.643255904,0,6.919984765,0,1.136388283,2.323514187,0,1.367818344,2.27866875,1.482848283,0.638398262,1.752791401,0,1.649109565,0,2.698129557,3.029293854,0.802978987,2.433573758,1.239947884,0.761285273,0,5.140181499,0,0,2.577440913,0,0,2.478894169,0,0,3.985290933,3.935940566,1.634779111,0,2.978140704,5.702507947,2.612352499,1.526469505,4.270214954,4.579753394,0,1.493647334,0,0,3.520925061,0.210638228,0,0,0,3.218409211,0,2.681674142,0,4.539289113,1.859214221,0,0,0,1.125981654,0.332851122,0,1.165686877,0,4.066743638,1.885574364,0.193456366,2.648488452,2.113600494,0,1.749705879,2.783603326
NEU1,5.329934436,1.068464451,0,0.933572638,0,3.350780101,6.269502619,3.953190727,3.842757635,2.924441986,2.309059743,7.244356223,8.300258284,0,5.050436396,6.893755355,2.175013539,4.366727861,5.20642052,0,5.935455033,6.669792144,0.508022917,6.291660649,1.328721595,0.187387707,0,0,0,0.824727127,0.281905924,2.456595905,5.747935155,4.162951177,5.838051692,2.584192858,5.12436536,0,3.982765463,5.595241068,8.696294691,0,4.504512345,4.660580698,0,2.90143653,0,5.988827813,5.153181114,0,0,5.950832308,2.939696741,0,0.08106688,0,0.161049225,0,4.071101912,0,0,0,5.205713111,3.785634244,0.260266587,0,1.019132551,1.270110276,0,0,0,2.875937296,5.390825867,0,0.993203349,5.199578125,0,1.286881148,0,4.925353858,6.429292912,0,5.34246941,2.741510132,5.927806401,1.452858965,4.522633314,5.459152889,4.639758894,0,0,0,0,1.611597334,2.292487292,0,0,0,0,6.500121647,0,0,0,0,0.189413431,0,0,0.781065898,0,7.203257939,0,1.12677467,0.163112244,3.180322935,0,3.097239963,0,0,5.188915177,1.771589827,0,1.54680805,4.167205364,0,5.526197171,6.000090166,1.077174623,1.536102647,0,0.363675722,0
