Ligand.ApprovedSymbol	Receptor.ApprovedSymbol
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ACE	AGTR2
ACE	BDKRB2
ADAM10	AXL
ADAM10	EPHA3
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGAV
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ERBB4
ADAM17	ITGA5
ADAM17	ITGB1
ADAM17	NOTCH1
ADAM23	ITGA5
ADAM23	ITGB3
ADAM28	ITGA4
ADAM2	CD9
ADAM2	ITGA6
ADAM2	ITGA9
ADAM2	ITGB1
ADAM2	ITGB7
ADAM9	ITGA3
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADCYAP1	ADCYAP1R1
ADCYAP1	SCTR
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADM2	CALCR
ADM2	CALCRL
ADM2	RAMP1
ADM	CALCR
ADM	CALCRL
ADM	GPR182
ADM	MRGPRX2
ADM	RAMP2
AGRN	ATP1A3
AGRN	LRP4
AGRN	MUSK
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	SDC3
AGT	AGTR1
AGT	AGTR2
AGT	LRP2
AGT	MAS1
AHSG	INSR
ALB	LRP2
AMELX	LAMP1
AMELY	LAMP1
AMH	ACVR1
AMH	AMHR2
AMH	EGFR
ANGPT1	ITGA5
ANGPT1	ITGB1
ANGPT1	TEK
ANGPT1	TIE1
ANGPT2	TEK
ANGPT2	TIE1
ANGPT4	TEK
ANGPT4	TIE1
ANGPTL1	TEK
ANGPTL2	TIE1
ANGPTL3	ITGA5
ANGPTL3	ITGAV
ANGPTL3	ITGB3
ANGPTL4	TIE1
ANXA1	DYSF
ANXA1	EGFR
ANXA1	FPR1
ANXA1	FPR2
ANXA1	FPR3
APLN	APLNR
APOB	CALCR
APOB	ITGAM
APOB	ITGB2
APOB	LDLR
APOB	LRP2
APOB	LRP6
APOB	LRP8
APOB	LSR
APOB	OLR1
APOC3	SDC2
APOC3	TLR2
APOD	LEPR
APOE	CHRNA4
APOE	LDLR
APOE	LRP1
APOE	LRP2
APOE	LRP5
APOE	LRP8
APOE	SCARB1
APOE	SORL1
APOE	VLDLR
APP	CAV1
APP	CD74
APP	FPR2
APP	GPC1
APP	LRP1
APP	NCSTN
APP	NGFR
APP	SLC45A3
APP	TNFRSF21
AREGB	EGFR
AREGB	ERBB3
AREG	EGFR
AREG	ERBB3
ARF1	CHRM3
ARF1	INSR
ARF1	PLD2
ARTN	GFRA1
ARTN	GFRA3
ARTN	RET
ASIP	ATRN
ASIP	F11R
ASIP	MC1R
ASIP	MC2R
ASIP	MC3R
ASIP	MC4R
ASIP	MC5R
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	OXTR
AZGP1	ITGAV
B2M	CD1A
B2M	CD1B
B2M	CD247
B2M	CD3D
B2M	CD3G
B2M	HFE
B2M	HLA-F
B2M	KIR2DL1
B2M	KIR2DL3
B2M	KIR3DL1
B2M	KLRC1
B2M	KLRD1
B2M	LILRB1
B2M	LILRB2
B2M	TFRC
BCAN	EGFR
BCAN	NRCAM
BDNF	DDR1
BDNF	DRD4
BDNF	NGFR
BDNF	NGFRAP1
BDNF	NTRK2
BDNF	SORT1
BGN	LY96
BGN	TLR1
BGN	TLR2
BGN	TLR4
BMP10	ACVR1
BMP10	ACVR2A
BMP10	ACVR2B
BMP10	ACVRL1
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ENG
BMP15	ACVR1
BMP15	ACVR2A
BMP15	ACVR2B
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP2	ACVR1
BMP2	ACVR2A
BMP2	ACVR2B
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	ENG
BMP2	HFE2
BMP3	ACVR1
BMP3	ACVR2A
BMP3	ACVR2B
BMP3	BMPR1A
BMP3	BMPR1B
BMP3	BMPR2
BMP4	ACVR1
BMP4	ACVR2A
BMP4	ACVR2B
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP4	HFE2
BMP5	ACVR1
BMP5	ACVR2A
BMP5	ACVR2B
BMP5	BMPR1A
BMP5	BMPR1B
BMP5	BMPR2
BMP5	HFE2
BMP6	ACVR1
BMP6	ACVR2A
BMP6	ACVR2B
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP7	ACVR1
BMP7	ACVR2A
BMP7	ACVR2B
BMP7	BMPR1A
BMP7	BMPR1B
BMP7	BMPR2
BMP7	ENG
BMP8B	ACVR1
BMP8B	ACVR2A
BMP8B	ACVR2B
BMP8B	BMPR1A
BMP8B	BMPR1B
BMP8B	BMPR2
BST1	CAV1
BTC	EGFR
BTC	ERBB2
BTC	ERBB3
BTC	ERBB4
BTLA	CD247
BTLA	CD79A
BTLA	TNFRSF14
BTLA	VTCN1
C1QA	CD93
C1QA	CR1
C1QA	CSPG4
C1QB	LRP1
C1QTNF1	AVPR2
C1QTNF5	MFRP
C1ORF112	PLSCR4
C1ORF194	PLSCR4
C1ORF200	LY6G6C
C1ORF200	SLC16A4
C3	C3AR1
C3	C5AR2
C3	CD19
C3	CD46
C3	CD81
C3	CR1
C3	IFITM1
C3	ITGAM
C3	ITGAX
C3	ITGB2
C3	LRP1
C4A	C3AR1
C4A	C5AR2
C4A	CR1
C4BPA	BMPR2
C4BPA	CD40
C4BPA	LRP1
C4B	CD46
C4B	CR1
C5	C5AR1
C5	C5AR2
C5ORF55	TRAF2
C6ORF15	DDR1
CALCA	CALCR
CALCA	CALCRL
CALCA	RAMP1
CALCA	RAMP2
CALCB	CALCR
CALCB	CALCRL
CALCB	RAMP1
CALR	HLA-F
CALR	ITGA2B
CALR	ITGA3
CALR	ITGAV
CALR	LRP1
CALR	MTNR1A
CALR	SCARF1
CALR	TSHR
CAMP	EGFR
CAMP	FPR2
CAMP	IGF1R
CAMP	P2RX7
CCK	CCKAR
CCK	CCKBR
CCL11	ACKR2
CCL11	ACKR4
CCL11	CCR2
CCL11	CCR3
CCL11	CCR5
CCL11	CXCR3
CCL13	ACKR2
CCL13	ACKR4
CCL13	CCR1
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CCR9
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR3
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	HRH4
CCL17	CCR4
CCL17	CCR8
CCL17	DARC
CCL18	C14ORF1
CCL19	ACKR2
CCL19	ACKR4
CCL19	CCR10
CCL19	CCR7
CCL19	CCRL2
CCL19	CXCR3
CCL1	CCR8
CCL20	CCR6
CCL20	CXCR3
CCL21	ACKR2
CCL21	ACKR4
CCL21	CCR7
CCL21	CXCR3
CCL22	CCR4
CCL23	CCR1
