sortid,genelist,drdist,FC,pValues,pAdjusted
382,BCAS4,5.82232364598072e-12,709.212148718136,2.96811290113242e-156,1.12550841210941e-152
1616,JSRP1,3.77856969059205e-12,460.264267719975,4.21096936743364e-102,7.98399792065418e-99
103,AD000091.1,2.53026193382257e-12,308.208992151233,5.36274672910041e-69,6.77851186558291e-66
1044,ENO3,2.36003932321788e-12,287.474324900177,1.76557522908563e-64,1.67376531717317e-61
3059,SNX32,2.0696931846075e-12,252.107515812189,9.01549931636532e-57,6.83735468153146e-54
394,BEST1,1.60380068435059e-12,195.35755801708,2.15265737155192e-44,1.36047945882081e-41
1627,KCP,1.34099386910645e-12,163.345289811115,2.10275421252665e-37,1.13909199627158e-34
2130,NOP16,1.23737071633826e-12,150.723044243848,1.20481930852158e-34,5.71084352239229e-32
3038,SMPD4,1.20590716538423e-12,146.890496633099,8.29219041739928e-34,3.49377622919756e-31
314,ATG10,1.18636755255049e-12,144.510393491203,2.74790871092846e-33,1.04200698318407e-30
924,DNAJC17,1.04596283024672e-12,127.407817123095,1.51266164719195e-29,5.21455724195626e-27
755,CR759762.1,9.49114865644476e-13,115.610851297955,5.78342120493957e-27,1.8275611007609e-24
754,CR388220.1,8.82659000154606e-13,107.515920472265,3.43137918636215e-25,1.00090691343733e-22
12,ABCB9,8.34622901816844e-13,101.664685365869,6.57623793952818e-24,1.78122101904935e-21
1038,EME2,5.40997657719702e-13,65.8984513077923,4.74764572258288e-16,1.20020483866895e-13
1652,KIFC1,4.81083160605324e-13,58.6003188401498,1.9318516003212e-14,4.31698280754297e-12
430,BX005428.2,4.8105388510882e-13,58.5967528175371,1.93535621646177e-14,4.31698280754297e-12
406,BOLA2,3.84255527334334e-13,46.8058295566803,7.83799101024178e-12,1.65120343949094e-09
3738,ZNF575,3.44538235035036e-13,41.967900934781,9.27840778312573e-11,1.8517748586112e-08
174,AL671277.1,2.92850655161015e-13,35.6718820575411,2.33510160902639e-09,4.42735265071404e-07
173,AL669813.2,2.7989302540927e-13,34.0935245155531,5.25257711355634e-09,9.48465353076459e-07
1189,FKBP15,2.42830169845205e-13,29.5789305097104,5.36853383048103e-08,9.25340012962911e-06
2228,OR7C1,1.95642663782196e-13,23.8310616857747,1.05171528790049e-06,0.000173395842248637
2474,PPT1,1.77290272383283e-13,21.5955729480223,3.36627937821774e-06,0.000531872141758403
3532,UBXN11,1.73794068784103e-13,21.1697034468237,4.20357208880783e-06,0.000637597814430372
515,CATSPER2P1,1.55619241601348e-13,18.9558436508708,1.33778904155739e-05,0.00195111386368678
3242,TBC1D31,1.34869013240514e-13,16.4282764909212,5.05258729899782e-05,0.00709607816214804
31,AC007318.3,8.50131807245475e-14,10.3553811565664,0.00129097806996052,0.174835315760367
756,CR759790.1,2.38481970948459e-14,2.90492802068208,0.0883091957539642,0.99999999991268
3057,SNX22,1.25548532451122e-14,1.5292956881491,0.216218180169611,0.99999999991268
3779,ZNRD1ASP,4.50426279275313e-15,0.548660309504576,0.458865608152884,0.99999999991268
1913,MMACHC,4.47779973345773e-15,0.545436867407278,0.460188205315744,0.99999999991268
1936,MRNIP,4.00566282648914e-15,0.487926283894547,0.484853802797294,0.99999999991268
2914,SH3D19,3.57623952153282e-15,0.435618606868047,0.509244783617018,0.99999999991268
169,AL590560.2,3.50535888812473e-15,0.42698469893396,0.513472231807529,0.99999999991268
1284,GGCX,3.2465268576831e-15,0.395456595786807,0.529445037936944,0.99999999991268
1888,MFSD11,2.7967879392462e-15,0.340674291658628,0.559440266367746,0.99999999991268
1800,LYZ,2.78869934180993e-15,0.33968902668253,0.560008776616855,0.99999999991268
1513,IFI30,2.78138230600964e-15,0.338797744954185,0.560524009684096,0.99999999991268
30,AC007192.1,2.4625827730599e-15,0.29996505279876,0.583904330353262,0.99999999991268
73,AC246785.2,2.41860141832083e-15,0.294607722462175,0.58728281128437,0.99999999991268
2746,RPL5,2.39389834874976e-15,0.291598663173187,0.5891978860659,0.99999999991268
95,ACTB,2.30631438009024e-15,0.28093013658773,0.596092219425056,0.99999999991268
3421,TPT1,2.2264809678733e-15,0.27120569850072,0.60252412402278,0.99999999991268
2344,PHC1,2.15451287590085e-15,0.262439328190446,0.608449234808483,0.99999999991268
178,AL845454.2,2.09257767494007e-15,0.254895055555412,0.613649215048465,0.99999999991268
2729,RPL17,1.97012811929115e-15,0.239979582326558,0.624220861872834,0.99999999991268
1483,HSP90B1,1.85463400008672e-15,0.225911344724922,0.634572218430955,0.99999999991268
2730,RPL17-C18ORF32,1.80946833825235e-15,0.22040975497734,0.638727882869088,0.99999999991268
595,CD74,1.77686698877119e-15,0.216438613123588,0.641767018676654,0.99999999991268
175,AL671883.2,1.52416470815877e-15,0.185657169439531,0.666555968140517,0.99999999991268
287,ARL14EPP1,1.42765948731169e-15,0.173901952931304,0.676667047852552,0.99999999991268
2751,RPLP0,1.41470427313235e-15,0.172323889628076,0.678054698107988,0.99999999991268
1167,FCER1G,1.3546174997418e-15,0.165004772337977,0.684589927437855,0.99999999991268
2157,NRDE2,1.3387044432988e-15,0.163066416856759,0.686348890366287,0.99999999991268
2407,PLTP,1.2406271603764e-15,0.151119708842709,0.69746761278952,0.99999999991268
2010,MX1,1.16960756158695e-15,0.142468873657115,0.705838849964151,0.99999999991268
172,AL645939.2,1.15535739366389e-15,0.140733073171464,0.707553323306434,0.99999999991268
2518,PSAP,1.10935795683713e-15,0.135129922021622,0.713171350476011,0.99999999991268
797,CTSB,1.10893926015055e-15,0.135078920944595,0.713223089363013,0.99999999991268
2334,PFN1,1.07569061391487e-15,0.131028932439566,0.717367583030847,0.99999999991268
3630,YBX1,1.05725215789135e-15,0.128782960245198,0.719697259638115,0.99999999991268
1970,MT-ND4,1.03432267349343e-15,0.125989939814244,0.722626588015392,0.99999999991268
2745,RPL4,1.01056645610129e-15,0.123096215760665,0.725700356621902,0.99999999991268
1964,MT-CO2,9.86927781326901e-16,0.120216809470504,0.728799461079027,0.99999999991268
