 ,TCGA-A3-3308-01A-01T-0860-13,TCGA-A3-3311-01A-01T-0860-13,TCGA-A3-3313-01A-01T-0860-13,TCGA-A3-3316-01A-01T-0860-13,TCGA-A3-3317-01A-01T-0860-13,TCGA-A3-3319-01A-01T-0860-13,TCGA-A3-3320-01A-01T-0860-13,TCGA-A3-3322-01A-01T-0860-13,TCGA-A3-3323-01A-01T-0860-13,TCGA-A3-3324-01A-01T-0860-13,TCGA-A3-3331-01A-01T-0860-13,TCGA-A3-3347-01A-02R-1324-13,TCGA-A3-3349-01A-01T-1187-13,TCGA-A3-3351-01A-02R-1324-13,TCGA-A3-3362-01A-02R-1324-13,TCGA-A3-3363-01A-01T-0860-13,TCGA-A3-3365-01A-01T-0860-13,TCGA-A3-3372-01A-01T-0860-13,TCGA-A3-3374-01A-01T-0860-13,TCGA-A3-3378-01A-01T-0860-13,TCGA-A3-3380-01A-01T-0860-13,TCGA-A3-3382-01A-01T-0860-13,TCGA-AK-3427-01A-01T-0860-13,TCGA-AK-3429-01A-02R-1324-13,TCGA-AK-3436-01A-02R-1324-13,TCGA-AK-3440-01A-02R-1276-13,TCGA-AK-3443-01A-01T-0860-13,TCGA-AK-3451-01A-02T-1187-13,TCGA-AK-3455-01A-01T-0860-13,TCGA-AK-3456-01A-02R-1324-13,TCGA-AK-3465-01A-02R-1324-13,TCGA-AS-3777-01A-01T-0860-13,TCGA-B0-4838-01A-01R-1304-13,TCGA-B0-4839-01A-01R-1304-13,TCGA-B0-5077-01A-01R-1333-13,TCGA-B0-5081-01A-01R-1333-13,TCGA-B2-3923-01A-02R-1324-13,TCGA-B2-3924-01A-02R-1324-13,TCGA-B2-4098-01A-02R-1324-13,TCGA-B2-4099-01A-02T-1187-13,TCGA-B2-4102-01A-02R-1324-13,TCGA-B8-4143-01A-01T-1187-13,TCGA-B8-4148-01A-02R-1324-13,TCGA-B8-4151-01A-01T-1187-13,TCGA-B8-4154-01A-01T-1187-13,TCGA-B8-4619-01A-01R-1187-13,TCGA-B8-4620-01A-01R-1187-13,TCGA-BP-4158-01A-02R-1288-13,TCGA-BP-4159-01A-02R-1288-13,TCGA-BP-4160-01A-02R-1288-13,TCGA-BP-4161-01A-02R-1324-13,TCGA-BP-4162-01A-02R-1324-13,TCGA-BP-4163-01A-02R-1324-13,TCGA-BP-4164-01A-02R-1324-13,TCGA-BP-4165-01A-02R-1288-13,TCGA-BP-4166-01A-02R-1288-13,TCGA-BP-4167-01A-02R-1324-13,TCGA-BP-4169-01A-02R-1288-13,TCGA-BP-4174-01A-02R-1288-13,TCGA-BP-4176-01A-02R-1288-13,TCGA-BP-4325-01A-02R-1288-13,TCGA-BP-4326-01A-01R-1288-13,TCGA-BP-4327-01A-01R-1288-13,TCGA-BP-4329-01A-02R-1288-13,TCGA-BP-4330-01A-01R-1288-13,TCGA-BP-4332-01A-01R-1288-13,TCGA-BP-4334-01A-01R-1288-13,TCGA-BP-4335-01A-01R-1288-13,TCGA-BP-4337-01A-01R-1288-13,TCGA-BP-4338-01A-01R-1288-13,TCGA-BP-4341-01A-01R-1288-13,TCGA-BP-4342-01A-01R-1288-13,TCGA-BP-4343-01A-02R-1288-13,TCGA-BP-4344-01A-01R-1288-13,TCGA-BP-4345-01A-01R-1288-13,TCGA-BP-4346-01A-01R-1288-13,TCGA-BP-4347-01A-01R-1288-13,TCGA-BP-4351-01A-01R-1288-13,TCGA-BP-4352-01A-01R-1288-13,TCGA-BP-4353-01A-02R-1288-13,TCGA-BP-4354-01A-02R-1288-13,TCGA-BP-4355-01A-01R-1288-13,TCGA-BP-4756-01A-01R-1288-13,TCGA-BP-4758-01A-01R-1288-13,TCGA-BP-4762-01A-02R-1288-13,TCGA-BP-4763-01A-01R-1288-13,TCGA-BP-4765-01A-01R-1288-13,TCGA-BP-4766-01A-01R-1288-13,TCGA-BP-4768-01A-01R-1288-13,TCGA-BP-4769-01A-01R-1288-13,TCGA-BP-4775-01A-01R-1288-13,TCGA-BP-4777-01A-01R-1288-13,TCGA-BP-4781-01A-01R-1304-13,TCGA-BP-4798-01A-01R-1304-13,TCGA-BP-4799-01A-01R-1304-13,TCGA-BP-4803-01A-01R-1304-13,TCGA-BP-4962-01A-01R-1333-13,TCGA-BP-4963-01A-01R-1333-13,TCGA-BP-4972-01A-01R-1333-13,TCGA-BP-4983-01A-01R-1333-13,TCGA-BP-4991-01A-01R-1333-13,TCGA-BP-5004-01A-01R-1333-13,TCGA-CJ-4634-01A-01R-1187-13,TCGA-CJ-4636-01A-01R-1187-13,TCGA-CJ-4637-01A-01R-1187-13,TCGA-CJ-4638-01A-01R-1187-13,TCGA-CJ-4639-01A-01R-1187-13,TCGA-CJ-4640-01A-01R-1187-13,TCGA-CJ-4641-01A-01R-1187-13,TCGA-CJ-4643-01A-01R-1187-13,TCGA-CJ-4644-01A-01R-1187-13,TCGA-CJ-4871-01A-01R-1304-13,TCGA-CJ-4872-01A-01R-1304-13,TCGA-CJ-4873-01A-01R-1304-13,TCGA-CJ-4884-01A-01R-1304-13,TCGA-CJ-4885-01A-01R-1304-13,TCGA-CJ-4886-01A-01R-1304-13,TCGA-CJ-4892-01A-01R-1304-13,TCGA-CJ-4893-01A-01R-1304-13,TCGA-CJ-4894-01A-01R-1304-13,TCGA-CZ-4861-01A-01R-1304-13,TCGA-CZ-4862-01A-01R-1304-13
hsa-let-7a-1,0.640208,-0.566465,0.024103,0.86178,0.154843,-0.831194,0.309344,-0.434974,-0.159918,-1.362035,-0.67412,0.241013,-0.170558,1.346984,1.950709,-1.392732,0.133623,-0.268341,-1.236757,-0.467763,1.327134,-0.400423,-0.135289,0.876241,2.070789,-1.066142,-0.67498,1.6999,-0.024493,0.725518,1.736116,-0.488,-0.3974,-0.249333,-0.963264,-1.016843,1.500126,1.377257,-0.304624,1.432814,0.378818,1.104352,2.130557,1.631941,0.696034,1.609242,-0.08204,-0.771058,0.475895,-0.092386,0.936934,0.783114,0.261452,2.009581,-0.077885,0.209349,0.726788,-0.429803,0.105309,-0.603225,-0.225024,1.12995,0.199042,0.668925,-0.887949,0.492078,-0.880642,-0.557049,-0.473869,-1.270341,-0.944814,-1.58799,-0.934098,0.455643,-0.081337,-0.554516,-0.144355,-1.134888,-0.439606,-0.1326,-0.726581,0.179443,-1.472756,-0.157246,-0.204138,-0.846822,0.163575,-0.292192,-1.888472,-0.379851,-1.175317,-0.045547,-0.500809,-0.509252,1.008734,-0.946816,-0.918319,-1.549846,-1.017943,-1.646612,-1.221594,-0.610563,4.112643,0.689692,0.766475,0.513035,0.880466,1.372711,1.150154,1.037667,1.812203,-0.69595,-0.239622,-1.644774,-0.108485,-0.666295,-0.708366,0.015915,-0.99194,-0.116588,-0.390221,-0.852177
hsa-let-7a-2,0.630753,-0.509536,-0.007068,0.90687,0.071751,-0.839713,0.350703,-0.433047,-0.211833,-1.40322,-0.610947,0.252154,-0.202137,1.332355,1.913853,-1.405488,0.13771,-0.20706,-1.184646,-0.521268,1.239774,-0.409345,-0.148662,0.849709,2.096022,-1.093551,-0.664266,1.688729,-0.151993,0.728213,1.714567,-0.442377,-0.355693,-0.258425,-0.921242,-1.107155,1.479685,1.420205,-0.304346,1.41312,0.331749,1.110694,2.116356,1.685554,0.682754,1.641763,-0.132016,-0.770638,0.389096,-0.033652,0.977846,0.81977,0.262141,1.963046,-0.085715,0.224694,0.757802,-0.369842,0.17501,-0.645576,-0.202203,1.172888,0.228822,0.635266,-0.8429,0.518016,-0.83452,-0.593506,-0.38846,-1.238778,-0.895328,-1.564673,-0.822707,0.467427,-0.061516,-0.560859,-0.120424,-1.126847,-0.436213,-0.078341,-0.725929,0.101247,-1.442438,-0.215103,-0.204853,-0.908006,0.161371,-0.270167,-1.888004,-0.361491,-1.193257,-0.046876,-0.520444,-0.52425,0.954892,-0.904363,-0.894137,-1.542649,-1.009207,-1.626465,-1.222447,-0.614627,4.210992,0.714029,0.763809,0.475415,0.862794,1.420406,1.022506,0.999166,1.870068,-0.676263,-0.246645,-1.654022,-0.081612,-0.694216,-0.691194,-0.074752,-0.96607,-0.140619,-0.452802,-0.952921
hsa-let-7a-3,0.65505,-0.468833,-0.004764,0.893706,0.087192,-0.872066,0.365209,-0.412505,-0.23159,-1.421272,-0.609204,0.236928,-0.126747,1.242132,1.957973,-1.408116,0.150608,-0.250276,-1.246548,-0.49091,1.218312,-0.392716,-0.195651,0.877067,2.096435,-1.108881,-0.636916,1.680714,-0.050769,0.747094,1.642121,-0.504205,-0.329515,-0.239044,-0.936743,-1.109471,1.45955,1.361263,-0.361291,1.421639,0.346841,1.065434,2.121391,1.631839,0.731558,1.661922,-0.120798,-0.797753,0.449701,-0.071408,1.031396,0.739296,0.247475,1.999552,-0.00342,0.240837,0.67625,-0.3978,0.12609,-0.613415,-0.172012,1.218258,0.201514,0.629628,-0.877437,0.528695,-0.873207,-0.555724,-0.440687,-1.248012,-0.868381,-1.582333,-0.847202,0.452561,-0.078355,-0.571553,-0.123244,-1.097243,-0.444117,-0.129147,-0.794108,0.183499,-1.442303,-0.174607,-0.2023,-0.870974,0.200924,-0.226879,-1.876639,-0.417074,-1.148038,-0.047567,-0.520399,-0.520297,0.981158,-0.934898,-0.899596,-1.524875,-1.018678,-1.626083,-1.185304,-0.633857,4.257841,0.677859,0.711368,0.517804,0.869513,1.378313,1.080992,1.024824,1.802692,-0.683996,-0.224069,-1.679649,-0.055362,-0.716185,-0.706202,-0.09377,-0.915617,-0.108834,-0.354738,-0.955844
hsa-let-7b,0.068219,-0.104859,-1.635837,0.794623,0.64558,0.453929,1.205771,-0.455904,0.108169,-1.28378,-0.825994,-0.284133,-0.097818,0.135813,0.514806,-1.541012,0.871624,0.833381,-1.951972,-1.228705,1.958455,1.284328,-0.935904,-0.438859,1.971857,-1.5294,-1.070927,-0.464511,0.788122,-1.495998,-0.852693,0.107024,-0.004965,0.097794,-0.748058,-0.186411,-0.539141,-0.119423,-1.875372,-0.15141,0.216947,-0.273069,0.777443,0.961352,0.879407,-1.172072,0.432442,-0.960781,0.601101,-0.221911,1.518756,0.397622,0.986667,1.918739,0.481564,-0.715027,1.528242,0.473872,4.418016,0.10378,-0.54978,2.020399,-0.07957,2.350952,-0.433036,1.476893,-1.174323,-0.487558,-0.324541,-1.402999,-0.96629,-0.726478,-0.476628,0.658706,0.664927,-0.577383,0.465932,-0.668585,-0.811956,0.368908,-0.420275,0.825566,-1.762205,0.44218,0.619672,0.492706,0.803004,0.276373,-0.959906,0.18354,-1.174912,-0.589973,-0.234352,0.824648,-1.112483,-0.666683,-0.884005,-1.258147,-0.700664,-1.160285,-0.847317,-0.939542,2.026847,-0.526538,0.647542,0.045515,0.613911,1.250062,0.34354,0.710725,-0.305102,0.326332,0.638864,-1.242013,0.348852,-0.667814,0.066055,0.043263,-0.147844,0.239087,0.332842,-0.198158
hsa-let-7c,1.882546,1.88768,-1.327441,0.414696,0.063667,-0.544162,0.270492,-0.644022,-0.653588,0.512634,-0.956814,-0.076927,0.414525,1.539178,2.569169,0.169832,0.616485,1.331098,-1.252311,-0.067891,1.181063,-0.02866,-0.890474,1.827989,-0.063945,-1.400819,0.330976,-1.040792,2.048917,-0.263859,-0.070249,-0.446162,1.006311,1.327701,-0.731236,-0.557102,-0.25981,0.415049,-0.657705,-0.6677,1.171597,-1.49378,0.095013,4.454746,0.471823,-0.433857,-0.935981,-0.195912,-0.548293,0.633573,0.328642,0.73961,-0.86401,1.116049,1.057022,-0.375866,-0.165593,0.352301,0.73094,-0.03607,0.273934,0.576698,-1.162829,1.193076,-0.398294,0.233843,-1.197899,0.335815,-0.58696,-1.485793,-0.256321,-1.261222,0.048432,0.301733,-0.574021,-0.538561,1.734569,-0.189961,-1.381069,-0.61645,-1.018951,0.260126,0.210062,0.421999,0.811084,1.753166,0.124496,-0.423567,0.862913,0.166952,-1.416735,0.797736,-1.055388,0.513977,-0.960471,0.445851,-0.709947,-0.550287,-0.623423,-1.70713,-1.241378,0.857344,-0.751757,-0.483144,-0.033056,0.422873,-0.613862,0.176841,-0.886622,0.102205,-0.797833,-0.410083,0.300628,2.687287,-1.60316,-0.937759,-0.296006,-0.415816,-0.26493,0.276033,-1.267045,-1.082239
hsa-let-7d,0.180912,-1.243986,1.636452,0.71593,-0.645887,-1.936031,-0.495832,0.80538,0.075486,-0.441165,-0.509691,-0.375175,-1.462056,-0.245869,0.540149,-1.53685,-0.62898,-0.911398,0.202519,-0.382075,0.285443,-1.334115,-2.103577,1.365952,-0.676177,-0.319953,-1.564674,-1.401003,-1.025611,1.191648,-0.715565,-0.915294,0.505055,1.149318,-0.108349,-0.71647,-1.223697,-0.836956,0.107684,-1.085358,0.446537,-1.468825,1.564088,0.16942,-0.986809,-0.585176,-1.281635,0.355103,0.490725,1.288214,0.925163,0.16012,-0.846554,0.046196,1.410626,0.205045,-0.264391,-0.615591,0.487685,-0.875887,2.69339,0.720943,2.674515,1.131101,-0.474654,-0.312983,0.229129,0.876814,-0.183773,-0.243674,0.533495,-1.271974,0.199423,1.550315,1.298804,0.187834,-0.181155,-0.413372,-0.634465,0.053518,0.607001,0.496914,2.256806,0.452035,-1.283512,-0.519779,1.473833,3.125377,0.14237,-1.093264,-0.22322,2.29932,0.827724,0.306968,1.989338,-0.158764,-0.518455,-1.272387,-1.067908,-0.992422,-1.079071,-0.385903,0.775577,-0.702544,-0.41637,-0.458497,-0.32249,-0.598228,-0.696573,-0.618024,0.628353,0.343742,0.206628,-0.226973,0.931201,0.077137,0.030343,1.25949,1.224808,-0.078761,0.057964,0.222794
hsa-let-7e,0.24387,-0.988527,3.332655,2.55485,0.101445,-1.732343,-1.182554,-0.183307,-0.199822,-1.438299,-0.850359,1.082577,-0.055862,-0.240028,1.763435,-1.766315,-0.786226,-1.207224,1.805662,-0.872542,0.202609,-1.336112,-0.145085,-0.062827,0.659955,0.064533,-0.619939,-0.340184,-0.590991,1.965264,2.879298,0.627708,-0.230606,0.263659,0.518635,-0.738112,1.376933,-0.224735,0.765627,-0.536258,-0.192943,-0.642594,0.147373,-0.460599,-0.784688,4.129808,-0.030516,-0.414139,-0.215544,-0.217297,-0.039749,-0.159735,-0.727124,0.239695,0.052118,2.405826,0.387063,-0.558174,-1.396376,-0.974028,-0.073965,0.749668,-0.150144,0.596419,-0.292609,-0.636363,-0.075367,-0.584058,-0.19488,-1.02024,-0.406122,-0.79722,0.214469,0.863153,0.587627,-1.144552,-0.614349,-0.113488,1.78459,-0.482039,-0.689397,0.077873,0.34473,-0.06859,-0.250131,-0.341181,-0.23394,-0.296647,-0.57695,-0.288094,-0.552803,-0.18619,-0.329937,-0.655114,1.237347,0.331639,-0.856046,-0.490393,-0.227168,-1.199338,-0.335381,0.798795,3.123241,0.038241,-0.523916,0.169311,0.489108,0.382681,-0.206145,0.233697,1.947063,-0.084201,0.119901,-0.433207,-0.562651,-0.40435,0.338901,0.068926,-0.233478,-0.094514,-1.0762,-1.144859
hsa-let-7f-1,0.61717,-1.854184,0.35491,-0.282886,-0.403845,0.759302,-0.618277,-0.384602,-0.627862,2.292988,-0.6086,-0.620185,-1.055554,-0.69634,-0.317478,-1.413687,-0.97033,-0.543625,0.623769,-1.012431,0.277835,-0.605186,-1.774707,0.355139,-1.116354,-0.81009,-1.549537,-0.481534,1.516814,-0.699194,-0.408794,-0.498922,-0.363871,-0.06153,0.010663,0.100304,-0.984598,0.186426,-0.655365,-0.699391,0.864054,0.433848,2.058708,0.60682,0.262864,-1.843847,-0.863683,-0.833929,-0.675416,1.071169,0.445449,0.630933,-0.641911,-0.452954,-0.538195,-0.379896,3.325823,-0.590453,0.659622,-0.067252,-0.02082,-0.008429,-0.08437,-0.710205,0.853542,-0.79014,-1.100841,0.496055,-0.322376,-0.888176,-0.33327,0.353551,-0.433228,-0.100452,-0.149292,3.218904,0.698521,-0.881397,-0.575313,-0.878997,0.006122,0.038983,-0.248853,1.968619,-0.445934,-0.42913,0.372313,0.147231,-0.194766,-1.134949,0.879477,3.450627,-0.480904,0.831375,1.083201,-0.655256,1.964407,-1.306344,0.499498,1.345862,0.849077,1.209784,-0.510987,-0.732702,0.85573,-0.111805,-0.179337,0.006065,0.134022,-0.781149,0.220643,-0.091985,0.040893,0.070444,3.154523,-0.423446,-0.045766,1.4263,1.103313,0.078165,-0.968666,0.21392
hsa-let-7f-2,-0.127794,-0.501012,0.318354,-0.286434,-0.494331,-0.749973,-0.278746,-0.542391,-0.575663,-0.767736,-0.499724,0.574683,1.174993,1.793866,0.926113,-0.362341,-0.513915,-0.731333,-0.079113,-0.261232,-0.074309,-0.017716,-0.429563,1.190213,1.417158,-0.192415,-0.865247,2.651702,0.250311,0.790608,1.94323,-0.486653,-0.774313,-0.756449,-0.715906,-0.919929,2.808919,1.254588,1.093369,1.384004,0.020264,1.676881,1.997235,1.567041,0.149384,1.565021,0.040837,-0.659762,-0.350781,-0.326242,0.256652,0.874455,-0.233824,1.037309,-0.337545,-0.213139,0.367143,-0.449559,-0.656257,-0.579069,-0.183085,-0.421283,0.186095,0.003324,-0.644841,-0.249318,0.148975,-0.492706,-0.536878,-0.744213,-0.541732,-0.874469,-0.701472,-0.129262,-0.54914,-0.498416,-0.662483,-0.779512,-0.778848,-0.546844,-0.479535,-0.419752,-0.740858,-0.468853,-0.496416,-0.831824,-0.249192,-0.421183,-0.970741,-0.52186,-0.437049,-0.211416,-0.49995,-0.709411,1.673808,-0.906096,-0.604277,-0.971295,-0.766999,-0.804114,-0.897893,-0.441486,5.029613,1.264914,0.744446,0.572046,0.583069,1.906281,1.466128,0.518452,2.764568,-0.853884,-0.646474,-0.900008,-0.70382,-0.778263,-0.838129,-0.269285,-0.764325,-0.630618,-0.731966,-0.874164
hsa-let-7g,0.060475,-0.351489,5.109334,0.827178,1.104109,-0.641847,-0.465317,0.018822,-0.566361,-0.582245,-0.37775,-0.306647,-0.226082,-0.659501,-0.155559,-0.429374,-0.389347,-0.571489,2.856753,-0.151305,-0.161202,-0.181185,1.29578,-0.353308,-0.300731,1.292411,1.006462,-0.618253,0.421331,3.046358,2.0246,3.452752,-0.456188,0.701605,-0.27074,-0.500048,1.511508,-0.568781,3.475127,-0.774341,-0.681939,-0.453473,-0.042471,-0.852065,-1.286556,2.066847,-0.392704,-0.606695,-0.51814,-0.194872,0.876542,-0.594895,-0.817186,0.060681,-0.173035,0.492204,-0.495562,-0.835168,-0.715805,-0.395332,-0.145164,-0.517221,0.089402,-0.288284,-0.684343,-0.576507,0.089241,-0.289033,0.503787,-0.641186,-0.472506,-1.013529,-0.695237,0.278248,0.023758,-0.181669,-0.605226,-0.497848,1.864971,-0.32225,0.261415,-0.614898,0.967327,-0.312993,-0.915644,-0.249044,-0.23667,-0.005481,-0.694039,-0.527586,-1.161333,0.954795,-0.227521,0.166056,1.81164,-0.347883,0.181864,-0.666546,-0.957441,-0.231717,-1.208968,-0.162552,0.261775,-0.336649,0.216925,0.460927,-0.733284,-0.03567,0.102739,-0.863114,0.260378,-0.498697,-0.531417,0.219702,-0.2036,-0.893184,-0.842547,0.000625,-0.514489,0.020099,-0.531359,0.112768
