ApprovedSymbol	ApprovedName
A1BG	alpha-1-B glycoprotein
A1BG-AS1	A1BG antisense RNA 1
A1CF	APOBEC1 complementation factor
A2M	alpha-2-macroglobulin
A2M-AS1	A2M antisense RNA 1
A2ML1	alpha-2-macroglobulin like 1
A2ML1-AS1	A2ML1 antisense RNA 1
A2ML1-AS2	A2ML1 antisense RNA 2
A3GALT2	alpha 1,3-galactosyltransferase 2
A4GALT	alpha 1,4-galactosyltransferase (P blood group)
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
AAAS	aladin WD repeat nucleoporin
AACS	acetoacetyl-CoA synthetase
AADAC	arylacetamide deacetylase
AADACL2	arylacetamide deacetylase like 2
AADACL2-AS1	AADACL2 antisense RNA 1
AADACL3	arylacetamide deacetylase like 3
AADACL4	arylacetamide deacetylase like 4
AADAT	aminoadipate aminotransferase
AAGAB	alpha and gamma adaptin binding protein
AAK1	AP2 associated kinase 1
AAMDC	adipogenesis associated Mth938 domain containing
AAMP	angio associated migratory cell protein
AANAT	aralkylamine N-acetyltransferase
AAR2	AAR2 splicing factor
AARD	alanine and arginine rich domain containing protein
AARS1	alanyl-tRNA synthetase 1
AARS2	alanyl-tRNA synthetase 2, mitochondrial
AARSD1	alanyl-tRNA synthetase domain containing 1
AASDH	aminoadipate-semialdehyde dehydrogenase
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	aminoadipate-semialdehyde synthase
AATBC	apoptosis associated transcript in bladder cancer
AATF	apoptosis antagonizing transcription factor
AATK	apoptosis associated tyrosine kinase
ABALON	apoptotic BCL2L1-antisense long non-coding RNA
ABAT	4-aminobutyrate aminotransferase
ABCA1	ATP binding cassette subfamily A member 1
ABCA2	ATP binding cassette subfamily A member 2
ABCA3	ATP binding cassette subfamily A member 3
ABCA4	ATP binding cassette subfamily A member 4
ABCA5	ATP binding cassette subfamily A member 5
ABCA6	ATP binding cassette subfamily A member 6
ABCA7	ATP binding cassette subfamily A member 7
ABCA8	ATP binding cassette subfamily A member 8
ABCA9	ATP binding cassette subfamily A member 9
ABCA9-AS1	ABCA9 antisense RNA 1
ABCA10	ATP binding cassette subfamily A member 10
ABCA12	ATP binding cassette subfamily A member 12
ABCA13	ATP binding cassette subfamily A member 13
ABCB1	ATP binding cassette subfamily B member 1
ABCB4	ATP binding cassette subfamily B member 4
ABCB5	ATP binding cassette subfamily B member 5
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7	ATP binding cassette subfamily B member 7
ABCB8	ATP binding cassette subfamily B member 8
ABCB9	ATP binding cassette subfamily B member 9
ABCB10	ATP binding cassette subfamily B member 10
ABCB11	ATP binding cassette subfamily B member 11
ABCC1	ATP binding cassette subfamily C member 1
ABCC2	ATP binding cassette subfamily C member 2
ABCC3	ATP binding cassette subfamily C member 3
ABCC4	ATP binding cassette subfamily C member 4
ABCC5	ATP binding cassette subfamily C member 5
ABCC5-AS1	ABCC5 antisense RNA 1
ABCC6	ATP binding cassette subfamily C member 6
ABCC8	ATP binding cassette subfamily C member 8
ABCC9	ATP binding cassette subfamily C member 9
ABCC10	ATP binding cassette subfamily C member 10
ABCC11	ATP binding cassette subfamily C member 11
ABCC12	ATP binding cassette subfamily C member 12
ABCD1	ATP binding cassette subfamily D member 1
ABCD2	ATP binding cassette subfamily D member 2
ABCD3	ATP binding cassette subfamily D member 3
ABCD4	ATP binding cassette subfamily D member 4
ABCE1	ATP binding cassette subfamily E member 1
ABCF1	ATP binding cassette subfamily F member 1
ABCF1-DT	ABCF1 divergent transcript
ABCF2	ATP binding cassette subfamily F member 2
ABCF3	ATP binding cassette subfamily F member 3
ABCG1	ATP binding cassette subfamily G member 1
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG4	ATP binding cassette subfamily G member 4
ABCG5	ATP binding cassette subfamily G member 5
ABCG8	ATP binding cassette subfamily G member 8
ABHD1	abhydrolase domain containing 1
ABHD2	abhydrolase domain containing 2, acylglycerol lipase
ABHD3	abhydrolase domain containing 3, phospholipase
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ABHD6	abhydrolase domain containing 6, acylglycerol lipase
ABHD8	abhydrolase domain containing 8
ABHD10	abhydrolase domain containing 10, depalmitoylase
ABHD11	abhydrolase domain containing 11
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)
ABHD11-AS2	ABHD11 antisense RNA 2
ABHD12	abhydrolase domain containing 12, lysophospholipase
ABHD12B	abhydrolase domain containing 12B
ABHD13	abhydrolase domain containing 13
ABHD14A	abhydrolase domain containing 14A
ABHD14B	abhydrolase domain containing 14B
ABHD15	abhydrolase domain containing 15
ABHD15-AS1	ABHD15 antisense RNA 1
ABHD16A	abhydrolase domain containing 16A, phospholipase
ABHD16B	abhydrolase domain containing 16B
ABHD17A	abhydrolase domain containing 17A, depalmitoylase
ABHD17B	abhydrolase domain containing 17B, depalmitoylase
ABHD17C	abhydrolase domain containing 17C, depalmitoylase
ABHD18	abhydrolase domain containing 18
ABI1	abl interactor 1
ABI2	abl interactor 2
ABI3	ABI family member 3
ABI3BP	ABI family member 3 binding protein
ABITRAM	actin binding transcription modulator
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
ABLIM1	actin binding LIM protein 1
ABLIM2	actin binding LIM protein family member 2
ABLIM3	actin binding LIM protein family member 3
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ABR	ABR activator of RhoGEF and GTPase
ABR-AS1	ABR antisense RNA 1
ABRA	actin binding Rho activating protein
ABRACL	ABRA C-terminal like
ABRAXAS1	abraxas 1, BRCA1 A complex subunit
ABRAXAS2	abraxas 2, BRISC complex subunit
ABT1	activator of basal transcription 1
ABTB1	ankyrin repeat and BTB domain containing 1
ABTB2	ankyrin repeat and BTB domain containing 2
ACAA1	acetyl-CoA acyltransferase 1
ACAA2	acetyl-CoA acyltransferase 2
ACACA	acetyl-CoA carboxylase alpha
ACACB	acetyl-CoA carboxylase beta
ACAD8	acyl-CoA dehydrogenase family member 8
ACAD9	acyl-CoA dehydrogenase family member 9
ACAD10	acyl-CoA dehydrogenase family member 10
ACAD11	acyl-CoA dehydrogenase family member 11
ACADL	acyl-CoA dehydrogenase long chain
ACADM	acyl-CoA dehydrogenase medium chain
ACADS	acyl-CoA dehydrogenase short chain
ACADSB	acyl-CoA dehydrogenase short/branched chain
ACADVL	acyl-CoA dehydrogenase very long chain
ACAN	aggrecan
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
ACAP2-IT1	ACAP2 intronic transcript 1
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAT1	acetyl-CoA acetyltransferase 1
ACAT2	acetyl-CoA acetyltransferase 2
ACBD3	acyl-CoA binding domain containing 3
ACBD3-AS1	ACBD3 antisense RNA 1
ACBD4	acyl-CoA binding domain containing 4
ACBD5	acyl-CoA binding domain containing 5
ACBD6	acyl-CoA binding domain containing 6
ACBD7	acyl-CoA binding domain containing 7
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
ACD	ACD shelterin complex subunit and telomerase recruitment factor
ACE	angiotensin I converting enzyme
ACE2	angiotensin converting enzyme 2
ACER1	alkaline ceramidase 1
ACER2	alkaline ceramidase 2
ACER3	alkaline ceramidase 3
ACHE	acetylcholinesterase (Cartwright blood group)
ACIN1	apoptotic chromatin condensation inducer 1
ACKR1	atypical chemokine receptor 1 (Duffy blood group)
ACKR2	atypical chemokine receptor 2
ACKR3	atypical chemokine receptor 3
ACKR4	atypical chemokine receptor 4
ACLY	ATP citrate lyase
ACMSD	aminocarboxymuconate semialdehyde decarboxylase
ACO1	aconitase 1
ACO2	aconitase 2
ACOD1	aconitate decarboxylase 1
ACOT1	acyl-CoA thioesterase 1
ACOT2	acyl-CoA thioesterase 2
ACOT4	acyl-CoA thioesterase 4
ACOT6	acyl-CoA thioesterase 6
ACOT7	acyl-CoA thioesterase 7
ACOT8	acyl-CoA thioesterase 8
ACOT9	acyl-CoA thioesterase 9
ACOT11	acyl-CoA thioesterase 11
ACOT12	acyl-CoA thioesterase 12
ACOT13	acyl-CoA thioesterase 13
ACOX1	acyl-CoA oxidase 1
ACOX2	acyl-CoA oxidase 2
