Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)
ENSG00000186092	OR4F5	1	65419
ENSG00000284733	OR4F29	1	450740
ENSG00000284662	OR4F16	1	685716
ENSG00000187634	SAMD11	1	923923
ENSG00000188976	NOC2L	1	944203
ENSG00000187961	KLHL17	1	960584
ENSG00000187583	PLEKHN1	1	966482
ENSG00000187642	PERM1	1	975204
ENSG00000188290	HES4	1	998962
ENSG00000187608	ISG15	1	1001138
ENSG00000188157	AGRN	1	1020120
ENSG00000237330	RNF223	1	1070967
ENSG00000131591	C1orf159	1	1081818
ENSG00000162571	TTLL10	1	1173880
ENSG00000186891	TNFRSF18	1	1203508
ENSG00000186827	TNFRSF4	1	1211340
ENSG00000078808	SDF4	1	1216909
ENSG00000176022	B3GALT6	1	1232237
ENSG00000184163	C1QTNF12	1	1242446
ENSG00000160087	UBE2J2	1	1253909
ENSG00000162572	SCNN1D	1	1280436
ENSG00000131584	ACAP3	1	1292390
ENSG00000169972	PUSL1	1	1308597
ENSG00000127054	INTS11	1	1311585
ENSG00000224051	CPTP	1	1324756
ENSG00000169962	TAS1R3	1	1331280
ENSG00000107404	DVL1	1	1335276
ENSG00000162576	MXRA8	1	1352689
ENSG00000175756	AURKAIP1	1	1373730
ENSG00000221978	CCNL2	1	1385711
ENSG00000242485	MRPL20	1	1401909
ENSG00000235098	ANKRD65	1	1418420
ENSG00000205116	TMEM88B	1	1425871
ENSG00000179403	VWA1	1	1434861
ENSG00000215915	ATAD3C	1	1449689
ENSG00000160072	ATAD3B	1	1471765
ENSG00000197785	ATAD3A	1	1512162
ENSG00000205090	TMEM240	1	1534778
ENSG00000160075	SSU72	1	1541673
ENSG00000228594	FNDC10	1	1598012
ENSG00000197530	MIB2	1	1615454
ENSG00000189409	MMP23B	1	1632163
ENSG00000248333	CDK11B	1	1635225
ENSG00000189339	SLC35E2B	1	1659529
ENSG00000008128	CDK11A	1	1702379
ENSG00000008130	NADK	1	1751232
ENSG00000078369	GNB1	1	1785285
ENSG00000169885	CALML6	1	1915108
ENSG00000178821	TMEM52	1	1917590
ENSG00000142609	CFAP74	1	1921951
