Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)
ENSMUSG00000102693	4933401J01Rik	1	3143476
ENSMUSG00000064842	Gm26206	1	3172239
ENSMUSG00000051951	Xkr4	1	3276124
ENSMUSG00000102851	Gm18956	1	3322980
ENSMUSG00000103377	Gm37180	1	3435954
ENSMUSG00000104017	Gm37363	1	3445779
ENSMUSG00000103025	Gm37686	1	3535200
ENSMUSG00000089699	Gm1992	1	3536810
ENSMUSG00000103201	Gm37329	1	3582674
ENSMUSG00000103147	Gm7341	1	3602018
ENSMUSG00000103161	Gm38148	1	3663115
ENSMUSG00000102331	Gm19938	1	3717532
ENSMUSG00000102348	Gm10568	1	3750378
ENSMUSG00000102592	Gm38385	1	3822233
ENSMUSG00000088333	Gm27396	1	3854099
ENSMUSG00000102343	Gm37381	1	3975962
ENSMUSG00000025900	Rp1	1	4069780
ENSMUSG00000102948	Gm6101	1	4326457
ENSMUSG00000104123	Gm37483	1	4433569
ENSMUSG00000025902	Sox17	1	4561154
ENSMUSG00000104238	Gm37587	1	4566774
ENSMUSG00000102269	Gm7357	1	4593128
ENSMUSG00000118917	Gm22307	1	4599240
ENSMUSG00000103003	Gm38076	1	4605060
ENSMUSG00000104328	Gm37323	1	4653352
ENSMUSG00000102735	Gm7369	1	4680694
ENSMUSG00000098104	Gm6085	1	4758157
ENSMUSG00000102175	Gm6119	1	4762442
ENSMUSG00002075947	U6	1	4793500
ENSMUSG00000103265	Gm2053	1	4805269
ENSMUSG00000103922	Gm6123	1	4841354
ENSMUSG00000033845	Mrpl15	1	4843429
ENSMUSG00000102275	Gm37144	1	4848286
ENSMUSG00000025903	Lypla1	1	4878011
ENSMUSG00000104217	Gm37988	1	4878115
ENSMUSG00000033813	Tcea1	1	4928037
ENSMUSG00000062588	Gm6104	1	4950272
ENSMUSG00000103280	Gm37277	1	4975974
ENSMUSG00000002459	Rgs20	1	4979799
ENSMUSG00000091305	Gm17100	1	4997251
ENSMUSG00000102653	Gm37079	1	5008799
ENSMUSG00000085623	Gm16041	1	5041080
ENSMUSG00000091665	Gm17101	1	5133283
ENSMUSG00000033793	Atp6v1h	1	5140241
ENSMUSG00000104352	Gm7182	1	5346329
ENSMUSG00000104046	Gm37567	1	5377962
